as_of_utc,player_id,field,old,new
2026-09-14T23:06:08.592586+00:00,16,now_cost,63,62
2026-09-14T23:06:08.592586+00:00,102,now_cost,49,48
2026-09-14T23:06:08.592586+00:00,328,now_cost,50,49
2026-09-14T23:06:08.592586+00:00,159,now_cost,54,53
2026-09-14T23:06:08.592586+00:00,568,now_cost,55,54
2026-09-14T23:06:08.592586+00:00,212,now_cost,45,44
2026-09-14T23:06:08.592586+00:00,309,now_cost,50,49
2026-09-14T23:06:08.592586+00:00,260,ep_next,1.0,1.2
2026-09-14T23:06:08.592586+00:00,260,ep_this,1.0,1.2
2026-09-14T23:06:08.592586+00:00,330,ep_next,5.8,9.2
2026-09-14T23:06:08.592586+00:00,330,ep_this,5.8,9.2
2026-09-14T23:06:08.592586+00:00,331,ep_next,0.8,2.0
2026-09-14T23:06:08.592586+00:00,331,ep_this,0.8,2.0
2026-09-14T23:06:08.592586+00:00,332,ep_next,4.2,4.5
2026-09-14T23:06:08.592586+00:00,332,ep_this,4.2,4.5
2026-09-14T23:06:08.592586+00:00,334,ep_next,3.8,5.2
2026-09-14T23:06:08.592586+00:00,334,ep_this,3.8,5.2
2026-09-14T23:06:08.592586+00:00,335,ep_next,5.0,5.5
2026-09-14T23:06:08.592586+00:00,335,ep_this,5.0,5.5
2026-09-14T23:06:08.592586+00:00,336,ep_next,1.8,3.8
2026-09-14T23:06:08.592586+00:00,336,ep_this,1.8,3.8
2026-09-14T23:06:08.592586+00:00,337,ep_next,1.2,1.5
2026-09-14T23:06:08.592586+00:00,337,ep_this,1.2,1.5
2026-09-14T23:06:08.592586+00:00,338,ep_next,2.5,4.0
2026-09-14T23:06:08.592586+00:00,338,ep_this,2.5,4.0
2026-09-14T23:06:08.592586+00:00,339,ep_next,0.2,0.5
2026-09-14T23:06:08.592586+00:00,339,ep_this,0.2,0.5
2026-09-14T23:06:08.592586+00:00,343,ep_next,0.2,0.5
2026-09-14T23:06:08.592586+00:00,343,ep_this,0.2,0.5
2026-09-14T23:06:08.592586+00:00,345,ep_next,1.8,3.0
2026-09-14T23:06:08.592586+00:00,345,ep_this,1.8,3.0
2026-09-14T23:06:08.592586+00:00,346,ep_next,2.8,5.0
2026-09-14T23:06:08.592586+00:00,346,ep_this,2.8,5.0
2026-09-14T23:06:08.592586+00:00,347,ep_next,1.2,1.5
2026-09-14T23:06:08.592586+00:00,347,ep_this,1.2,1.5
2026-09-14T23:06:08.592586+00:00,385,ep_next,4.0,4.5
2026-09-14T23:06:08.592586+00:00,385,ep_this,4.0,4.5
2026-09-14T23:06:08.592586+00:00,598,ep_next,1.5,1.8
2026-09-14T23:06:08.592586+00:00,598,ep_this,1.5,1.8
2026-09-14T23:06:08.592586+00:00,641,ep_next,0.0,0.5
2026-09-14T23:06:08.592586+00:00,641,ep_this,0.0,0.5
2026-09-14T23:06:08.592586+00:00,378,now_cost,45,44
2026-09-14T23:06:08.592586+00:00,43,now_cost,59,58
2026-09-14T23:06:08.592586+00:00,405,status,a,d
2026-09-14T23:06:08.592586+00:00,405,news,,Concussion - 50% chance of playing
2026-09-14T23:06:08.592586+00:00,405,news_added,,2026-09-14T21:30:07.343728Z
2026-09-14T23:06:08.592586+00:00,405,chance_of_playing_next_round,,50
2026-09-14T23:06:08.592586+00:00,405,ep_next,1.2,0.6
2026-09-14T23:06:08.592586+00:00,445,ep_next,2.2,2.5
2026-09-14T23:06:08.592586+00:00,445,ep_this,2.2,2.5
2026-09-14T23:06:08.592586+00:00,447,ep_next,2.5,2.8
2026-09-14T23:06:08.592586+00:00,447,ep_this,2.5,2.8
2026-09-14T23:06:08.592586+00:00,448,news,Ankle injury - Expected back 14 Sep,Ankle injury - Expected back 19 Sep
2026-09-14T23:06:08.592586+00:00,449,ep_next,4.8,4.5
2026-09-14T23:06:08.592586+00:00,449,ep_this,4.8,4.5
2026-09-14T23:06:08.592586+00:00,450,ep_next,0.2,1.0
2026-09-14T23:06:08.592586+00:00,450,ep_this,0.2,1.0
2026-09-14T23:06:08.592586+00:00,453,ep_next,4.5,4.8
2026-09-14T23:06:08.592586+00:00,453,ep_this,4.5,4.8
2026-09-14T23:06:08.592586+00:00,454,status,a,i
2026-09-14T23:06:08.592586+00:00,454,news,,Unspecified injury - Unknown return date
2026-09-14T23:06:08.592586+00:00,454,news_added,,2026-09-14T20:00:09.505598Z
2026-09-14T23:06:08.592586+00:00,454,chance_of_playing_next_round,,0
2026-09-14T23:06:08.592586+00:00,454,ep_next,4.5,0.0
2026-09-14T23:06:08.592586+00:00,457,ep_next,0.8,0.5
2026-09-14T23:06:08.592586+00:00,457,ep_this,0.8,0.5
2026-09-14T23:06:08.592586+00:00,459,ep_next,2.2,2.0
2026-09-14T23:06:08.592586+00:00,459,ep_this,2.2,2.0
2026-09-14T23:06:08.592586+00:00,460,ep_next,2.8,3.0
2026-09-14T23:06:08.592586+00:00,460,ep_this,2.8,3.0
2026-09-14T23:06:08.592586+00:00,461,ep_next,0.2,1.8
2026-09-14T23:06:08.592586+00:00,461,ep_this,0.2,1.8
2026-09-14T23:06:08.592586+00:00,462,ep_next,0.8,1.2
2026-09-14T23:06:08.592586+00:00,462,ep_this,0.8,1.2
2026-09-14T23:06:08.592586+00:00,464,ep_next,3.5,3.8
2026-09-14T23:06:08.592586+00:00,464,ep_this,3.5,3.8
2026-09-14T23:06:08.592586+00:00,559,ep_next,0.2,0.5
2026-09-14T23:06:08.592586+00:00,559,ep_this,0.2,0.5
2026-09-14T23:06:08.592586+00:00,593,status,d,a
2026-09-14T23:06:08.592586+00:00,593,news,Hamstring injury - 75% chance of playing,
