as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-08-30T06:35:28.089888+00:00,1,60,38.3,22787,20524,3.0,6,90,a,
2026-08-30T06:35:28.089888+00:00,2,50,0.1,97,167,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,3,50,0.0,21,56,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,4,80,28.6,7622,38172,2.5,5,90,a,
2026-08-30T06:35:28.089888+00:00,5,65,0.1,105,500,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,6,60,0.3,310,1215,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,7,55,0.7,1264,1483,1.5,3,90,a,
2026-08-30T06:35:28.089888+00:00,8,56,41.7,34892,12703,4.5,9,80,a,
2026-08-30T06:35:28.089888+00:00,9,54,1.5,1062,3377,0.5,1,9,a,
2026-08-30T06:35:28.089888+00:00,10,55,6.9,17129,12382,5.5,11,90,a,100
2026-08-30T06:35:28.089888+00:00,11,55,5.6,2042,10281,3.0,6,90,a,
2026-08-30T06:35:28.089888+00:00,12,95,10.3,6871,10981,4.5,9,67,a,
2026-08-30T06:35:28.089888+00:00,13,75,16.5,3889,29685,1.5,3,67,a,
2026-08-30T06:35:28.089888+00:00,14,64,1.7,1561,4832,0.5,1,14,a,
2026-08-30T06:35:28.089888+00:00,15,66,11.9,20571,10716,5.5,11,75,a,
2026-08-30T06:35:28.089888+00:00,16,64,0.3,345,827,0.5,1,22,a,
2026-08-30T06:35:28.089888+00:00,17,59,0.6,697,2151,0.5,1,14,a,
2026-08-30T06:35:28.089888+00:00,18,64,0.2,289,707,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,19,54,0.9,714,2454,0.5,1,22,a,
2026-08-30T06:35:28.089888+00:00,20,54,0.1,179,304,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,21,50,0.1,23,375,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,22,54,0.0,34,52,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,23,55,0.0,37,31,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,24,55,0.0,4,79,0.0,0,0,u,0
2026-08-30T06:35:28.089888+00:00,25,74,6.4,1590,17685,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,26,75,7.5,12613,12494,3.0,6,90,a,
2026-08-30T06:35:28.089888+00:00,27,60,0.3,762,1022,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,28,50,4.1,9001,6853,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,29,45,0.1,355,199,0.5,1,90,a,
2026-08-30T06:35:28.089888+00:00,30,45,0.1,0,485,0.0,0,0,u,0
2026-08-30T06:35:28.089888+00:00,31,45,10.6,16373,24981,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,32,45,7.5,3248,9679,-0.5,-1,90,a,
2026-08-30T06:35:28.089888+00:00,33,45,0.4,445,439,0.5,1,16,a,
2026-08-30T06:35:28.089888+00:00,34,45,0.4,276,519,0.0,0,73,a,
2026-08-30T06:35:28.089888+00:00,35,50,0.1,125,159,0.5,1,16,a,
2026-08-30T06:35:28.089888+00:00,36,45,0.7,483,950,0.0,0,81,a,
2026-08-30T06:35:28.089888+00:00,37,45,0.3,252,391,-1.0,-2,90,a,
2026-08-30T06:35:28.089888+00:00,38,40,1.7,1925,1951,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,39,40,0.2,0,804,0.0,0,0,u,0
2026-08-30T06:35:28.089888+00:00,40,75,26.0,31162,31737,4.0,8,81,a,
2026-08-30T06:35:28.089888+00:00,41,60,1.2,1524,3058,1.0,2,85,a,
2026-08-30T06:35:28.089888+00:00,42,55,0.0,125,214,1.0,2,54,a,
2026-08-30T06:35:28.089888+00:00,43,60,2.3,2130,6153,1.0,2,66,a,100
2026-08-30T06:35:28.089888+00:00,44,55,0.1,235,434,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,45,55,2.7,2017,5463,0.5,1,81,a,
2026-08-30T06:35:28.089888+00:00,46,50,0.2,516,474,1.0,2,73,a,
2026-08-30T06:35:28.089888+00:00,47,50,0.3,641,794,1.0,2,90,a,100
2026-08-30T06:35:28.089888+00:00,48,50,0.0,34,109,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,49,50,0.0,0,10,0.0,0,0,u,0
2026-08-30T06:35:28.089888+00:00,50,45,0.7,1137,1095,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,51,45,0.8,2877,1204,1.0,2,90,a,
2026-08-30T06:35:28.089888+00:00,52,50,0.0,80,122,0.5,1,8,a,
2026-08-30T06:35:28.089888+00:00,53,59,0.2,96,1182,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,54,55,0.0,11,238,-1.0,-2,39,s,0
2026-08-30T06:35:28.089888+00:00,55,79,7.1,1340,35913,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,56,55,0.1,83,489,0.0,0,0,d,50
2026-08-30T06:35:28.089888+00:00,57,45,3.4,5109,3190,2.5,5,180,a,
2026-08-30T06:35:28.089888+00:00,58,40,3.2,3477,2013,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,59,40,0.2,0,695,0.0,0,0,u,0
2026-08-30T06:35:28.089888+00:00,60,55,0.9,1165,1334,2.5,5,180,a,
2026-08-30T06:35:28.089888+00:00,61,55,4.2,2397,4553,2.5,5,180,a,
2026-08-30T06:35:28.089888+00:00,62,50,0.2,367,566,0.0,0,0,a,
2026-08-30T06:35:28.089888+00:00,63,50,0.0,16,46,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,64,45,0.1,267,227,1.0,2,180,a,
2026-08-30T06:35:28.089888+00:00,65,45,0.0,22,91,0.0,0,0,i,0
2026-08-30T06:35:28.089888+00:00,66,40,0.2,308,328,0.0,0,0,a,100
