as_of_utc,player_id,field,old,new
2026-09-07T23:28:13.468794+00:00,557,now_cost,65,64
2026-09-07T23:28:13.468794+00:00,41,now_cost,60,59
2026-09-07T23:28:13.468794+00:00,115,now_cost,47,48
2026-09-07T23:28:13.468794+00:00,310,now_cost,50,49
2026-09-07T23:28:13.468794+00:00,379,now_cost,90,91
2026-09-07T23:28:13.468794+00:00,392,now_cost,54,53
2026-09-07T23:28:13.468794+00:00,415,now_cost,59,58
2026-09-07T23:28:13.468794+00:00,418,now_cost,50,49
2026-09-07T23:28:13.468794+00:00,435,now_cost,50,49
