as_of_utc,player_id,field,old,new
2026-09-06T16:58:20.475784+00:00,1,ep_next,4.0,4.7
2026-09-06T16:58:20.475784+00:00,1,ep_this,4.0,4.7
2026-09-06T16:58:20.475784+00:00,4,ep_next,4.3,5.0
2026-09-06T16:58:20.475784+00:00,4,ep_this,4.3,5.0
2026-09-06T16:58:20.475784+00:00,7,ep_next,2.0,2.7
2026-09-06T16:58:20.475784+00:00,7,ep_this,2.0,2.7
2026-09-06T16:58:20.475784+00:00,8,ep_next,6.7,7.3
2026-09-06T16:58:20.475784+00:00,8,ep_this,6.7,7.3
2026-09-06T16:58:20.475784+00:00,10,ep_next,6.0,6.7
2026-09-06T16:58:20.475784+00:00,10,ep_this,6.0,6.7
2026-09-06T16:58:20.475784+00:00,12,ep_next,6.7,7.3
2026-09-06T16:58:20.475784+00:00,12,ep_this,6.7,7.3
2026-09-06T16:58:20.475784+00:00,13,ep_next,2.7,4.3
2026-09-06T16:58:20.475784+00:00,13,ep_this,2.7,4.3
2026-09-06T16:58:20.475784+00:00,15,ep_next,4.7,8.0
2026-09-06T16:58:20.475784+00:00,15,ep_this,4.7,8.0
2026-09-06T16:58:20.475784+00:00,26,ep_next,2.7,5.3
2026-09-06T16:58:20.475784+00:00,26,ep_this,2.7,5.3
2026-09-06T16:58:20.475784+00:00,31,ep_next,0.3,1.0
2026-09-06T16:58:20.475784+00:00,31,ep_this,0.3,1.0
2026-09-06T16:58:20.475784+00:00,452,status,d,a
2026-09-06T16:58:20.475784+00:00,452,news,Knock - 75% chance of playing,
2026-09-06T16:58:20.475784+00:00,452,chance_of_playing_next_round,75,100
2026-09-06T16:58:20.475784+00:00,452,ep_next,0.2,0.3
2026-09-06T16:58:20.475784+00:00,557,ep_next,2.0,3.7
2026-09-06T16:58:20.475784+00:00,557,ep_this,2.0,3.7
2026-09-06T16:58:20.475784+00:00,28,ep_next,0.7,1.7
2026-09-06T16:58:20.475784+00:00,28,ep_this,0.7,1.7
2026-09-06T16:58:20.475784+00:00,40,ep_next,4.3,7.0
2026-09-06T16:58:20.475784+00:00,40,ep_this,4.3,7.0
2026-09-06T16:58:20.475784+00:00,142,ep_next,0.3,0.7
2026-09-06T16:58:20.475784+00:00,142,ep_this,0.3,0.7
2026-09-06T16:58:20.475784+00:00,144,ep_next,0.7,1.0
2026-09-06T16:58:20.475784+00:00,144,ep_this,0.7,1.0
2026-09-06T16:58:20.475784+00:00,145,ep_next,0.0,1.0
2026-09-06T16:58:20.475784+00:00,145,ep_this,0.0,1.0
2026-09-06T16:58:20.475784+00:00,148,ep_next,1.7,2.7
2026-09-06T16:58:20.475784+00:00,148,ep_this,1.7,2.7
2026-09-06T16:58:20.475784+00:00,151,ep_next,1.3,1.7
2026-09-06T16:58:20.475784+00:00,151,ep_this,1.3,1.7
2026-09-06T16:58:20.475784+00:00,154,ep_next,6.7,7.0
2026-09-06T16:58:20.475784+00:00,154,ep_this,6.7,7.0
2026-09-06T16:58:20.475784+00:00,156,ep_next,2.7,3.3
2026-09-06T16:58:20.475784+00:00,156,ep_this,2.7,3.3
2026-09-06T16:58:20.475784+00:00,161,ep_next,2.7,3.0
2026-09-06T16:58:20.475784+00:00,161,ep_this,2.7,3.0
2026-09-06T16:58:20.475784+00:00,165,ep_next,6.7,7.0
2026-09-06T16:58:20.475784+00:00,165,ep_this,6.7,7.0
2026-09-06T16:58:20.475784+00:00,583,ep_next,0.7,1.0
2026-09-06T16:58:20.475784+00:00,583,ep_this,0.7,1.0
2026-09-06T16:58:20.475784+00:00,226,ep_next,4.3,3.7
2026-09-06T16:58:20.475784+00:00,226,ep_this,4.3,3.7
2026-09-06T16:58:20.475784+00:00,229,ep_next,6.3,7.0
2026-09-06T16:58:20.475784+00:00,229,ep_this,6.3,7.0
2026-09-06T16:58:20.475784+00:00,230,ep_next,3.7,4.3
2026-09-06T16:58:20.475784+00:00,230,ep_this,3.7,4.3
2026-09-06T16:58:20.475784+00:00,236,ep_next,4.7,5.0
2026-09-06T16:58:20.475784+00:00,236,ep_this,4.7,5.0
2026-09-06T16:58:20.475784+00:00,238,ep_next,0.3,0.7
2026-09-06T16:58:20.475784+00:00,238,ep_this,0.3,0.7
2026-09-06T16:58:20.475784+00:00,239,ep_next,1.0,1.3
2026-09-06T16:58:20.475784+00:00,239,ep_this,1.0,1.3
2026-09-06T16:58:20.475784+00:00,242,ep_next,2.0,5.0
2026-09-06T16:58:20.475784+00:00,242,ep_this,2.0,5.0
2026-09-06T16:58:20.475784+00:00,244,ep_next,3.3,3.7
2026-09-06T16:58:20.475784+00:00,244,ep_this,3.3,3.7
2026-09-06T16:58:20.475784+00:00,247,ep_next,1.3,2.7
2026-09-06T16:58:20.475784+00:00,247,ep_this,1.3,2.7
2026-09-06T16:58:20.475784+00:00,249,ep_next,3.7,4.0
2026-09-06T16:58:20.475784+00:00,249,ep_this,3.7,4.0
2026-09-06T16:58:20.475784+00:00,43,ep_next,3.0,2.7
2026-09-06T16:58:20.475784+00:00,43,ep_this,3.0,2.7
2026-09-06T16:58:20.475784+00:00,162,ep_next,1.0,1.3
2026-09-06T16:58:20.475784+00:00,162,ep_this,1.0,1.3
2026-09-06T16:58:20.475784+00:00,412,ep_next,1.3,1.7
2026-09-06T16:58:20.475784+00:00,412,ep_this,1.3,1.7
2026-09-06T16:58:20.475784+00:00,415,ep_next,0.3,0.7
2026-09-06T16:58:20.475784+00:00,415,ep_this,0.3,0.7
2026-09-06T16:58:20.475784+00:00,418,ep_next,2.0,2.3
2026-09-06T16:58:20.475784+00:00,418,ep_this,2.0,2.3
2026-09-06T16:58:20.475784+00:00,419,ep_next,0.7,1.3
2026-09-06T16:58:20.475784+00:00,419,ep_this,0.7,1.3
2026-09-06T16:58:20.475784+00:00,420,ep_next,0.3,0.7
2026-09-06T16:58:20.475784+00:00,420,ep_this,0.3,0.7
2026-09-06T16:58:20.475784+00:00,422,ep_next,0.7,1.0
2026-09-06T16:58:20.475784+00:00,422,ep_this,0.7,1.0
2026-09-06T16:58:20.475784+00:00,423,ep_next,1.3,2.3
2026-09-06T16:58:20.475784+00:00,423,ep_this,1.3,2.3
2026-09-06T16:58:20.475784+00:00,426,ep_next,8.7,9.0
2026-09-06T16:58:20.475784+00:00,426,ep_this,8.7,9.0
2026-09-06T16:58:20.475784+00:00,427,ep_next,4.7,7.0
