as_of_utc,player_id,field,old,new
2026-09-11T11:12:43.783842+00:00,11,news,Muscular injury - 75% chance of playing,Muscular injury - 50% chance of playing
2026-09-11T11:12:43.783842+00:00,11,chance_of_playing_next_round,75,50
2026-09-11T11:12:43.783842+00:00,11,ep_next,3.0,2.0
2026-09-11T11:12:43.783842+00:00,387,status,d,a
2026-09-11T11:12:43.783842+00:00,387,news,Back injury - 75% chance of playing,
2026-09-11T11:12:43.783842+00:00,387,chance_of_playing_next_round,75,100
2026-09-11T11:12:43.783842+00:00,387,ep_next,1.0,1.3
2026-09-11T11:12:43.783842+00:00,400,news,Calf injury - Expected back 13 Sep,Calf injury - Expected back 20 Sep
