as_of_utc,player_id,field,old,new
2026-09-11T01:00:24.506926+00:00,8,now_cost,57,58
2026-09-11T01:00:24.506926+00:00,15,now_cost,66,67
2026-09-11T01:00:24.506926+00:00,25,now_cost,73,72
2026-09-11T01:00:24.506926+00:00,69,now_cost,60,61
2026-09-11T01:00:24.506926+00:00,154,now_cost,96,97
2026-09-11T01:00:24.506926+00:00,190,now_cost,55,54
2026-09-11T01:00:24.506926+00:00,261,now_cost,55,54
2026-09-11T01:00:24.506926+00:00,586,now_cost,40,41
2026-09-11T01:00:24.506926+00:00,387,now_cost,65,64
2026-09-11T01:00:24.506926+00:00,534,now_cost,45,44
