as_of_utc,player_id,field,old,new
2026-09-11T19:28:24.010250+00:00,152,status,d,i
2026-09-11T19:28:24.010250+00:00,152,news,Unspecified injury - 75% chance of playing,Unspecified injury - Expected back 18 Sep
2026-09-11T19:28:24.010250+00:00,152,chance_of_playing_next_round,75,0
2026-09-11T19:28:24.010250+00:00,499,status,a,d
2026-09-11T19:28:24.010250+00:00,499,news,,Unspecified injury - 75% chance of playing
2026-09-11T19:28:24.010250+00:00,499,news_added,2026-08-21T15:22:48.149081Z,2026-09-11T18:00:09.076279Z
2026-09-11T19:28:24.010250+00:00,499,chance_of_playing_next_round,100,75
2026-09-11T19:28:24.010250+00:00,499,ep_next,2.7,2.0
2026-09-11T19:28:24.010250+00:00,506,status,a,d
2026-09-11T19:28:24.010250+00:00,506,news,,Unspecified injury - 75% chance of playing
2026-09-11T19:28:24.010250+00:00,506,news_added,,2026-09-11T18:00:09.092110Z
2026-09-11T19:28:24.010250+00:00,506,chance_of_playing_next_round,,75
2026-09-11T19:28:24.010250+00:00,506,ep_next,2.3,1.7
2026-09-11T19:28:24.010250+00:00,578,status,a,i
2026-09-11T19:28:24.010250+00:00,578,news,,Ankle injury - Unknown return date
2026-09-11T19:28:24.010250+00:00,578,news_added,,2026-09-11T18:00:09.154412Z
2026-09-11T19:28:24.010250+00:00,578,chance_of_playing_next_round,,0
2026-09-11T19:28:24.010250+00:00,578,ep_next,0.3,0.0
