as_of_utc,player_id,field,old,new
2026-08-24T21:40:16.623914+00:00,145,status,s,a
2026-08-24T21:40:16.623914+00:00,145,news,Suspended until 30 Aug,
2026-08-24T21:40:16.623914+00:00,145,chance_of_playing_next_round,0,100
2026-08-24T21:40:16.623914+00:00,145,ep_next,0.0,2.2
2026-08-24T21:40:16.623914+00:00,253,status,s,a
2026-08-24T21:40:16.623914+00:00,253,news,Suspended until 30 Aug,
2026-08-24T21:40:16.623914+00:00,253,chance_of_playing_next_round,0,100
2026-08-24T21:40:16.623914+00:00,253,ep_next,0.0,2.2
