as_of_utc,player_id,field,old,new
2026-08-24T18:56:02.967697+00:00,136,status,d,a
2026-08-24T18:56:02.967697+00:00,136,news,Unspecified injury - 75% chance of playing,
2026-08-24T18:56:02.967697+00:00,136,chance_of_playing_next_round,75,100
2026-08-24T18:56:02.967697+00:00,136,ep_next,1.5,2.0
2026-08-24T18:56:02.967697+00:00,152,status,a,d
2026-08-24T18:56:02.967697+00:00,152,news,,Unspecified injury - 75% chance of playing
2026-08-24T18:56:02.967697+00:00,152,news_added,,2026-08-24T18:30:07.421239Z
2026-08-24T18:56:02.967697+00:00,152,chance_of_playing_next_round,,75
2026-08-24T18:56:02.967697+00:00,152,ep_next,2.5,1.9
2026-08-24T18:56:02.967697+00:00,159,status,a,d
2026-08-24T18:56:02.967697+00:00,159,news,,Unspecified injury - 75% chance of playing
2026-08-24T18:56:02.967697+00:00,159,news_added,,2026-08-24T18:30:07.431154Z
2026-08-24T18:56:02.967697+00:00,159,chance_of_playing_next_round,,75
2026-08-24T18:56:02.967697+00:00,159,ep_next,2.0,1.5
