as_of_utc,player_id,field,old,new
2026-08-24T22:39:43.405954+00:00,154,status,a,d
2026-08-24T22:39:43.405954+00:00,154,news,,Calf injury - 75% chance of playing
2026-08-24T22:39:43.405954+00:00,154,news_added,,2026-08-24T22:00:07.971542Z
2026-08-24T22:39:43.405954+00:00,154,chance_of_playing_next_round,,75
2026-08-24T22:39:43.405954+00:00,154,ep_next,3.2,2.4
2026-08-24T22:39:43.405954+00:00,610,now_cost,,40
2026-08-24T22:39:43.405954+00:00,610,status,,a
2026-08-24T22:39:43.405954+00:00,610,news,,
2026-08-24T22:39:43.405954+00:00,610,ep_next,,1.0
2026-08-24T22:39:43.405954+00:00,610,ep_this,,1.0
