as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-25T18:32:06.369788+00:00,1,61,42.2,115912,41587,6.0,30,450,a,
2026-09-25T18:32:06.369788+00:00,2,49,0.1,92,222,0.0,0,0,a,
2026-09-25T18:32:06.369788+00:00,3,49,0.0,43,105,0.0,0,0,a,
2026-09-25T18:32:06.369788+00:00,4,80,22.8,20977,60371,5.0,25,450,a,
2026-09-25T18:32:06.369788+00:00,5,65,0.4,10839,3494,0.2,1,104,a,100
2026-09-25T18:32:06.369788+00:00,6,59,0.2,340,983,0.0,0,0,i,0
2026-09-25T18:32:06.369788+00:00,7,54,0.6,779,4621,1.5,9,271,a,
2026-09-25T18:32:06.369788+00:00,8,58,50.5,67436,56938,5.0,29,416,a,
2026-09-25T18:32:06.369788+00:00,9,52,0.9,1279,5306,0.2,2,32,a,
2026-09-25T18:32:06.369788+00:00,10,55,5.0,3191,61312,2.5,21,315,d,75
2026-09-25T18:32:06.369788+00:00,11,53,1.6,1052,8533,1.5,12,168,a,100
2026-09-25T18:32:06.369788+00:00,12,95,13.6,92308,41778,5.8,32,416,a,
2026-09-25T18:32:06.369788+00:00,13,74,11.8,7253,71493,4.2,20,411,d,75
2026-09-25T18:32:06.369788+00:00,14,63,1.0,1966,6156,0.8,4,85,a,
2026-09-25T18:32:06.369788+00:00,15,68,19.8,67345,80313,4.5,29,377,a,
2026-09-25T18:32:06.369788+00:00,16,62,0.2,675,1437,0.2,2,23,a,
2026-09-25T18:32:06.369788+00:00,17,58,0.4,629,2635,0.8,4,81,a,
2026-09-25T18:32:06.369788+00:00,18,63,0.1,0,489,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,19,53,0.6,437,3414,1.0,5,89,a,
2026-09-25T18:32:06.369788+00:00,20,53,0.1,404,523,0.2,1,9,a,
2026-09-25T18:32:06.369788+00:00,21,49,0.0,36,269,0.0,0,0,i,0
2026-09-25T18:32:06.369788+00:00,22,54,0.0,0,47,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,23,55,0.0,0,35,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,24,55,0.0,0,17,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,25,71,3.1,6355,15030,0.5,2,29,a,
2026-09-25T18:32:06.369788+00:00,26,76,8.4,49699,47294,3.2,19,437,d,75
2026-09-25T18:32:06.369788+00:00,27,59,0.1,0,877,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,28,50,4.8,6579,20109,2.2,9,360,a,
2026-09-25T18:32:06.369788+00:00,29,45,0.1,52,913,0.0,1,90,i,0
2026-09-25T18:32:06.369788+00:00,30,45,0.0,0,196,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,31,46,19.4,82576,40170,3.0,12,281,a,
2026-09-25T18:32:06.369788+00:00,32,44,4.9,2386,23070,1.8,6,296,a,100
2026-09-25T18:32:06.369788+00:00,33,45,0.4,1480,1231,2.2,10,261,a,
2026-09-25T18:32:06.369788+00:00,34,45,0.3,38,2860,0.8,3,187,i,0
2026-09-25T18:32:06.369788+00:00,35,49,0.1,156,408,0.0,1,16,a,
2026-09-25T18:32:06.369788+00:00,36,44,0.5,48,5648,2.2,9,335,i,0
2026-09-25T18:32:06.369788+00:00,37,45,0.3,893,1144,2.5,8,450,a,
2026-09-25T18:32:06.369788+00:00,38,40,1.5,1658,5483,0.0,0,0,a,
2026-09-25T18:32:06.369788+00:00,39,40,0.1,0,486,0.0,0,0,u,0
2026-09-25T18:32:06.369788+00:00,40,77,40.4,129148,63590,5.2,29,437,a,
