as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-26T12:39:10.754693+00:00,1,61,42.2,117825,42699,6.0,30,450,a,
2026-09-26T12:39:10.754693+00:00,2,49,0.1,94,227,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,3,49,0.0,44,113,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,4,80,22.7,21590,61566,5.0,25,450,a,
2026-09-26T12:39:10.754693+00:00,5,65,0.4,11131,3613,0.2,1,104,a,100
2026-09-26T12:39:10.754693+00:00,6,59,0.2,350,1003,0.0,0,0,i,0
2026-09-26T12:39:10.754693+00:00,7,54,0.6,804,4688,1.5,9,271,a,
2026-09-26T12:39:10.754693+00:00,8,58,50.5,69106,58231,5.0,29,416,a,
2026-09-26T12:39:10.754693+00:00,9,52,0.9,1309,5396,0.2,2,32,a,
2026-09-26T12:39:10.754693+00:00,10,55,5.0,3201,62680,2.5,21,315,d,75
2026-09-26T12:39:10.754693+00:00,11,53,1.6,1078,8743,1.5,12,168,a,100
2026-09-26T12:39:10.754693+00:00,12,95,13.6,95217,42733,5.8,32,416,a,
2026-09-26T12:39:10.754693+00:00,13,74,11.7,7317,74137,4.2,20,411,d,75
2026-09-26T12:39:10.754693+00:00,14,62,1.0,2022,6320,0.8,4,85,a,
2026-09-26T12:39:10.754693+00:00,15,68,19.8,68955,81698,4.5,29,377,a,
2026-09-26T12:39:10.754693+00:00,16,62,0.2,688,1468,0.2,2,23,a,
2026-09-26T12:39:10.754693+00:00,17,58,0.4,658,2683,0.8,4,81,a,
2026-09-26T12:39:10.754693+00:00,18,63,0.1,0,502,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,19,53,0.6,452,3480,1.0,5,89,a,
2026-09-26T12:39:10.754693+00:00,20,53,0.1,422,536,0.2,1,9,a,
2026-09-26T12:39:10.754693+00:00,21,49,0.0,40,278,0.0,0,0,i,0
2026-09-26T12:39:10.754693+00:00,22,54,0.0,0,48,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,23,55,0.0,0,35,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,24,55,0.0,0,18,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,25,71,3.1,7202,15404,0.5,2,29,a,
2026-09-26T12:39:10.754693+00:00,26,76,8.4,49810,50748,3.2,19,437,d,75
2026-09-26T12:39:10.754693+00:00,27,59,0.1,0,908,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,28,50,4.8,6753,20471,2.2,9,360,a,
2026-09-26T12:39:10.754693+00:00,29,45,0.1,54,927,0.0,1,90,i,0
2026-09-26T12:39:10.754693+00:00,30,45,0.0,0,200,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,31,46,19.4,84236,41145,3.0,12,281,a,
2026-09-26T12:39:10.754693+00:00,32,44,4.8,2437,23466,1.8,6,296,a,100
2026-09-26T12:39:10.754693+00:00,33,45,0.4,1509,1266,2.2,10,261,a,
2026-09-26T12:39:10.754693+00:00,34,45,0.3,40,2921,0.8,3,187,i,0
2026-09-26T12:39:10.754693+00:00,35,49,0.1,157,417,0.0,1,16,a,
2026-09-26T12:39:10.754693+00:00,36,44,0.5,48,5742,2.2,9,335,i,0
2026-09-26T12:39:10.754693+00:00,37,45,0.3,912,1164,2.5,8,450,a,
2026-09-26T12:39:10.754693+00:00,38,40,1.5,1693,5593,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,39,40,0.1,0,498,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,40,77,40.4,132361,64827,5.2,29,437,a,
2026-09-26T12:39:10.754693+00:00,41,59,1.0,11026,3661,4.8,21,401,a,
2026-09-26T12:39:10.754693+00:00,42,54,0.0,96,243,0.2,2,54,a,
2026-09-26T12:39:10.754693+00:00,43,58,1.5,2771,9952,3.0,14,402,a,100
2026-09-26T12:39:10.754693+00:00,44,54,0.1,0,439,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,45,54,2.2,6209,7718,4.0,17,434,a,
2026-09-26T12:39:10.754693+00:00,46,50,0.3,518,1659,2.0,10,308,a,
2026-09-26T12:39:10.754693+00:00,47,50,0.3,1180,1441,3.2,15,443,a,100
2026-09-26T12:39:10.754693+00:00,48,49,0.0,36,89,0.0,0,0,i,0
2026-09-26T12:39:10.754693+00:00,49,50,0.0,0,10,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,50,45,0.6,584,3145,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,51,45,1.2,2968,9019,1.8,9,297,a,
2026-09-26T12:39:10.754693+00:00,52,50,0.0,64,728,1.8,8,87,d,75
2026-09-26T12:39:10.754693+00:00,53,59,0.4,26346,2741,3.5,14,98,a,100
2026-09-26T12:39:10.754693+00:00,54,55,0.0,410,172,1.0,2,129,a,100
2026-09-26T12:39:10.754693+00:00,55,78,2.5,0,11294,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,56,55,0.2,1484,1590,1.0,4,71,a,100
2026-09-26T12:39:10.754693+00:00,57,45,3.0,5481,10679,1.8,9,450,a,
2026-09-26T12:39:10.754693+00:00,58,40,3.5,7534,6657,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,59,40,0.1,0,507,0.0,0,0,u,0
2026-09-26T12:39:10.754693+00:00,60,55,0.8,2847,2833,2.8,12,450,a,
2026-09-26T12:39:10.754693+00:00,61,54,3.0,4100,11214,2.2,10,450,a,
2026-09-26T12:39:10.754693+00:00,62,49,0.2,433,887,0.0,0,0,a,
2026-09-26T12:39:10.754693+00:00,63,49,0.0,23,38,0.0,0,0,i,0
2026-09-26T12:39:10.754693+00:00,64,45,0.1,368,438,0.8,4,434,a,
2026-09-26T12:39:10.754693+00:00,65,44,0.0,32,42,0.0,0,0,i,0
2026-09-26T12:39:10.754693+00:00,66,40,0.3,683,1036,0.0,0,0,a,100
2026-09-26T12:39:10.754693+00:00,67,63,1.6,3567,9131,2.0,10,434,a,
2026-09-26T12:39:10.754693+00:00,68,61,6.7,75296,39474,5.2,31,424,a,
2026-09-26T12:39:10.754693+00:00,69,61,5.8,21272,35808,7.0,30,446,a,
2026-09-26T12:39:10.754693+00:00,70,60,0.9,2283,16534,3.0,15,294,i,0
2026-09-26T12:39:10.754693+00:00,71,50,0.2,248,1073,1.2,8,180,a,
2026-09-26T12:39:10.754693+00:00,72,49,0.1,129,344,0.8,4,12,a,
2026-09-26T12:39:10.754693+00:00,73,50,0.3,988,1517,2.8,12,279,a,100
2026-09-26T12:39:10.754693+00:00,74,50,0.1,160,308,0.8,3,45,a,100
2026-09-26T12:39:10.754693+00:00,75,50,0.0,269,225,1.2,5,102,a,100
2026-09-26T12:39:10.754693+00:00,76,49,0.0,25,53,0.2,2,17,a,
2026-09-26T12:39:10.754693+00:00,77,49,0.0,22,69,0.0,0,0,i,0
