as_of_utc,player_id,field,old,new
2026-09-03T11:08:06.036147+00:00,382,status,i,a
2026-09-03T11:08:06.036147+00:00,382,news,Unspecified injury - Unknown return date,
2026-09-03T11:08:06.036147+00:00,382,chance_of_playing_next_round,0,100
2026-09-03T11:08:06.036147+00:00,409,status,a,u
2026-09-03T11:08:06.036147+00:00,409,news,,has joined West Ham on loan for the rest of the seaon.
2026-09-03T11:08:06.036147+00:00,409,news_added,,2026-09-03T10:34:10.733520Z
2026-09-03T11:08:06.036147+00:00,409,chance_of_playing_next_round,,0
