as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-19T12:15:45.375463+00:00,1,60,41.6,19066,1927,5.8,29,360,a,
2026-09-19T12:15:45.375463+00:00,2,49,0.1,15,20,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,3,49,0.0,4,13,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,4,80,23.1,1921,7317,4.8,24,360,a,
2026-09-19T12:15:45.375463+00:00,5,65,0.3,1103,215,0.2,1,45,a,100
2026-09-19T12:15:45.375463+00:00,6,59,0.2,32,131,0.0,0,0,i,0
2026-09-19T12:15:45.375463+00:00,7,55,0.6,123,412,1.8,9,271,a,
2026-09-19T12:15:45.375463+00:00,8,58,50.7,8310,2758,5.6,28,326,a,
2026-09-19T12:15:45.375463+00:00,9,53,0.9,127,465,0.4,2,32,a,
2026-09-19T12:15:45.375463+00:00,10,55,5.5,894,5880,4.2,21,315,a,100
2026-09-19T12:15:45.375463+00:00,11,53,1.7,126,920,2.4,12,168,a,100
2026-09-19T12:15:45.375463+00:00,12,95,13.2,13087,2136,6.0,30,336,a,
2026-09-19T12:15:45.375463+00:00,13,74,12.4,1296,2567,3.8,19,321,a,
2026-09-19T12:15:45.375463+00:00,14,63,1.0,223,545,0.6,3,68,a,
2026-09-19T12:15:45.375463+00:00,15,68,20.1,9973,4100,5.4,27,305,a,
2026-09-19T12:15:45.375463+00:00,16,62,0.2,117,130,0.4,2,23,a,
2026-09-19T12:15:45.375463+00:00,17,58,0.4,90,239,0.6,3,51,a,
2026-09-19T12:15:45.375463+00:00,18,63,0.1,0,78,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,19,53,0.6,54,365,0.8,4,59,a,
2026-09-19T12:15:45.375463+00:00,20,53,0.1,45,53,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,21,49,0.0,6,41,0.0,0,0,i,0
2026-09-19T12:15:45.375463+00:00,22,54,0.0,0,6,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,23,55,0.0,0,7,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,24,55,0.0,0,3,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,25,72,3.2,766,1696,0.2,1,12,a,
2026-09-19T12:15:45.375463+00:00,26,76,8.5,10403,2518,3.4,17,347,a,
2026-09-19T12:15:45.375463+00:00,27,59,0.2,0,129,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,28,50,4.9,812,3183,1.8,9,360,a,
2026-09-19T12:15:45.375463+00:00,29,45,0.1,6,124,0.2,1,90,i,0
2026-09-19T12:15:45.375463+00:00,30,45,0.1,0,31,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,31,46,19.4,28050,2240,2.2,11,191,a,
2026-09-19T12:15:45.375463+00:00,32,44,5.1,404,1576,1.4,7,251,a,100
2026-09-19T12:15:45.375463+00:00,33,45,0.4,175,134,1.6,8,215,a,
2026-09-19T12:15:45.375463+00:00,34,45,0.3,2,475,0.6,3,187,i,0
2026-09-19T12:15:45.375463+00:00,35,50,0.1,18,36,0.2,1,16,a,
2026-09-19T12:15:45.375463+00:00,36,45,0.6,5,856,1.8,9,335,i,0
2026-09-19T12:15:45.375463+00:00,37,45,0.3,119,105,1.6,8,404,a,
2026-09-19T12:15:45.375463+00:00,38,40,1.6,274,431,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,39,40,0.1,0,44,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,40,77,40.0,18078,5140,5.8,29,437,a,
2026-09-19T12:15:45.375463+00:00,41,59,0.9,204,590,2.2,11,355,a,
2026-09-19T12:15:45.375463+00:00,42,54,0.0,5,23,0.4,2,54,a,
2026-09-19T12:15:45.375463+00:00,43,58,1.5,329,909,2.0,10,312,a,100
2026-09-19T12:15:45.375463+00:00,44,54,0.1,0,66,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,45,54,2.2,500,744,2.4,12,395,a,
2026-09-19T12:15:45.375463+00:00,46,50,0.3,80,120,1.8,9,302,a,
2026-09-19T12:15:45.375463+00:00,47,50,0.3,79,148,2.0,10,404,a,100
2026-09-19T12:15:45.375463+00:00,48,49,0.0,4,6,0.0,0,0,i,0
2026-09-19T12:15:45.375463+00:00,49,50,0.0,0,0,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,50,45,0.6,84,272,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,51,45,1.2,365,888,1.6,8,279,a,
2026-09-19T12:15:45.375463+00:00,52,50,0.1,35,33,1.6,8,87,d,75
2026-09-19T12:15:45.375463+00:00,53,59,0.1,219,48,0.4,2,71,a,100
2026-09-19T12:15:45.375463+00:00,54,55,0.0,46,8,-0.2,-1,83,a,100
2026-09-19T12:15:45.375463+00:00,55,78,2.6,0,1496,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,56,55,0.2,296,129,0.6,3,69,a,100
2026-09-19T12:15:45.375463+00:00,57,45,3.0,616,1186,1.4,7,360,a,
2026-09-19T12:15:45.375463+00:00,58,40,3.5,1103,434,0.0,0,0,a,
2026-09-19T12:15:45.375463+00:00,59,40,0.1,0,69,0.0,0,0,u,0
2026-09-19T12:15:45.375463+00:00,60,55,0.8,250,272,1.6,8,360,a,
