as_of_utc,player_id,field,old,new
2026-09-19T00:15:20.372387+00:00,31,now_cost,45,46
2026-09-19T00:15:20.372387+00:00,67,now_cost,64,63
2026-09-19T00:15:20.372387+00:00,108,now_cost,55,54
2026-09-19T00:15:20.372387+00:00,565,now_cost,57,56
2026-09-19T00:15:20.372387+00:00,594,now_cost,60,59
2026-09-19T00:15:20.372387+00:00,149,now_cost,49,48
2026-09-19T00:15:20.372387+00:00,200,now_cost,60,59
2026-09-19T00:15:20.372387+00:00,177,now_cost,40,39
2026-09-19T00:15:20.372387+00:00,188,now_cost,54,53
2026-09-19T00:15:20.372387+00:00,492,now_cost,55,54
2026-09-19T00:15:20.372387+00:00,203,now_cost,49,48
2026-09-19T00:15:20.372387+00:00,206,now_cost,44,43
2026-09-19T00:15:20.372387+00:00,233,now_cost,45,46
2026-09-19T00:15:20.372387+00:00,236,now_cost,65,66
2026-09-19T00:15:20.372387+00:00,289,now_cost,45,44
2026-09-19T00:15:20.372387+00:00,329,now_cost,44,43
2026-09-19T00:15:20.372387+00:00,369,now_cost,58,57
2026-09-19T00:15:20.372387+00:00,370,now_cost,54,53
2026-09-19T00:15:20.372387+00:00,371,now_cost,59,58
2026-09-19T00:15:20.372387+00:00,237,now_cost,59,58
2026-09-19T00:15:20.372387+00:00,420,now_cost,49,48
2026-09-19T00:15:20.372387+00:00,423,now_cost,44,43
2026-09-19T00:15:20.372387+00:00,440,now_cost,54,53
2026-09-19T00:15:20.372387+00:00,444,now_cost,45,44
2026-09-19T00:15:20.372387+00:00,453,now_cost,60,61
2026-09-19T00:15:20.372387+00:00,454,now_cost,62,61
2026-09-19T00:15:20.372387+00:00,465,now_cost,59,58
2026-09-19T00:15:20.372387+00:00,167,now_cost,55,56
2026-09-19T00:15:20.372387+00:00,471,now_cost,55,54
2026-09-19T00:15:20.372387+00:00,455,now_cost,54,53
2026-09-19T00:15:20.372387+00:00,508,now_cost,40,39
2026-09-19T00:15:20.372387+00:00,514,now_cost,58,57
2026-09-19T00:15:20.372387+00:00,534,now_cost,44,43
2026-09-19T00:15:20.372387+00:00,539,now_cost,40,39
2026-09-19T00:15:20.372387+00:00,542,now_cost,58,57
2026-09-19T00:15:20.372387+00:00,552,now_cost,58,57
