as_of_utc,player_id,field,old,new
2026-09-19T17:58:09.445935+00:00,5,ep_next,0.4,0.2
2026-09-19T17:58:09.445935+00:00,5,ep_this,0.4,0.2
2026-09-19T17:58:09.445935+00:00,12,ep_next,6.2,6.4
2026-09-19T17:58:09.445935+00:00,12,ep_this,6.2,6.4
2026-09-19T17:58:09.445935+00:00,14,ep_next,0.6,0.8
2026-09-19T17:58:09.445935+00:00,14,ep_this,0.6,0.8
2026-09-19T17:58:09.445935+00:00,15,ep_next,5.6,5.8
2026-09-19T17:58:09.445935+00:00,15,ep_this,5.6,5.8
2026-09-19T17:58:09.445935+00:00,17,ep_next,0.6,0.8
2026-09-19T17:58:09.445935+00:00,17,ep_this,0.6,0.8
2026-09-19T17:58:09.445935+00:00,19,ep_next,0.8,1.0
2026-09-19T17:58:09.445935+00:00,19,ep_this,0.8,1.0
2026-09-19T17:58:09.445935+00:00,20,ep_next,0.0,0.2
2026-09-19T17:58:09.445935+00:00,20,ep_this,0.0,0.2
2026-09-19T17:58:09.445935+00:00,25,ep_next,0.2,0.4
2026-09-19T17:58:09.445935+00:00,25,ep_this,0.2,0.4
2026-09-19T17:58:09.445935+00:00,26,ep_next,3.6,3.8
2026-09-19T17:58:09.445935+00:00,26,ep_this,3.6,3.8
2026-09-19T17:58:09.445935+00:00,557,ep_next,3.0,3.2
2026-09-19T17:58:09.445935+00:00,557,ep_this,3.0,3.2
2026-09-19T17:58:09.445935+00:00,109,ep_next,3.6,4.8
2026-09-19T17:58:09.445935+00:00,109,ep_this,3.6,4.8
2026-09-19T17:58:09.445935+00:00,113,ep_next,1.8,2.6
2026-09-19T17:58:09.445935+00:00,113,ep_this,1.8,2.6
2026-09-19T17:58:09.445935+00:00,114,ep_next,2.8,3.8
2026-09-19T17:58:09.445935+00:00,114,ep_this,2.8,3.8
2026-09-19T17:58:09.445935+00:00,115,ep_next,6.6,7.4
2026-09-19T17:58:09.445935+00:00,115,ep_this,6.6,7.4
2026-09-19T17:58:09.445935+00:00,119,ep_next,0.6,0.8
2026-09-19T17:58:09.445935+00:00,119,ep_this,0.6,0.8
2026-09-19T17:58:09.445935+00:00,120,ep_next,0.0,0.2
2026-09-19T17:58:09.445935+00:00,120,ep_this,0.0,0.2
2026-09-19T17:58:09.445935+00:00,124,ep_next,6.8,9.4
2026-09-19T17:58:09.445935+00:00,124,ep_this,6.8,9.4
2026-09-19T17:58:09.445935+00:00,125,ep_next,1.0,1.2
2026-09-19T17:58:09.445935+00:00,125,ep_this,1.0,1.2
2026-09-19T17:58:09.445935+00:00,126,ep_next,0.2,0.4
2026-09-19T17:58:09.445935+00:00,126,ep_this,0.2,0.4
2026-09-19T17:58:09.445935+00:00,127,ep_next,3.4,4.8
2026-09-19T17:58:09.445935+00:00,127,ep_this,3.4,4.8
2026-09-19T17:58:09.445935+00:00,129,ep_next,2.6,3.0
2026-09-19T17:58:09.445935+00:00,129,ep_this,2.6,3.0
2026-09-19T17:58:09.445935+00:00,138,ep_next,3.8,5.6
2026-09-19T17:58:09.445935+00:00,138,ep_this,3.8,5.6
2026-09-19T17:58:09.445935+00:00,328,ep_next,0.6,1.4
2026-09-19T17:58:09.445935+00:00,328,ep_this,0.6,1.4
2026-09-19T17:58:09.445935+00:00,504,ep_next,5.0,6.4
2026-09-19T17:58:09.445935+00:00,504,ep_this,5.0,6.4
2026-09-19T17:58:09.445935+00:00,605,ep_next,3.8,4.0
2026-09-19T17:58:09.445935+00:00,605,ep_this,3.8,4.0
2026-09-19T17:58:09.445935+00:00,639,ep_next,1.7,4.3
2026-09-19T17:58:09.445935+00:00,639,ep_this,1.7,4.3
2026-09-19T17:58:09.445935+00:00,91,ep_next,1.2,2.8
2026-09-19T17:58:09.445935+00:00,91,ep_this,1.2,2.8
2026-09-19T17:58:09.445935+00:00,104,ep_next,1.2,1.8
2026-09-19T17:58:09.445935+00:00,104,ep_this,1.2,1.8
2026-09-19T17:58:09.445935+00:00,110,ep_next,1.0,3.4
2026-09-19T17:58:09.445935+00:00,110,ep_this,1.0,3.4
2026-09-19T17:58:09.445935+00:00,173,ep_next,3.0,4.4
2026-09-19T17:58:09.445935+00:00,173,ep_this,3.0,4.4
2026-09-19T17:58:09.445935+00:00,175,status,a,d
2026-09-19T17:58:09.445935+00:00,175,news,,Hamstring injury - 75% chance of playing
2026-09-19T17:58:09.445935+00:00,175,news_added,,2026-09-19T16:00:09.486751Z
