season,model,n,MAE,RMSE,bias,spearman,top20_hit,captain_capture
2020-21,xgi,9076,1.9384089907448214,3.3055604421841345,-1.5258924636403701,0.18574288246264173,0.09848484848484848,0.22330641312487637
2020-21,ppg,9076,2.1508578463304984,2.9778621470903057,-0.009958576605537475,0.2594631753813033,0.1681818181818182,0.25945888034264053
2020-21,minutes_x_ppm,9076,2.1523054495987575,3.0746323835748095,-0.5257423803598908,0.27105636522409876,0.1787878787878788,0.27249533362677186
2020-21,form5,9076,2.1982921992066986,3.1615800908684815,-0.5493609519612164,0.2588326027533983,0.1606060606060606,0.2772501648521913
2020-21,price,9076,2.303251432349052,3.5613082513306864,-2.0575198325253417,0.17866791475023552,0.1893939393939394,0.33397421825862583
2020-21,naive_last,9076,2.635412075804319,3.9379973120153706,-0.4007271925958572,0.20392968250739027,0.1590909090909091,0.204984408879005
2021-22,xgi,9103,1.9624299681423707,3.3890506143743515,-1.500604196418763,0.18149129438329076,0.10303030303030303,0.20028678035643982
2021-22,minutes_x_ppm,9103,2.187231898439492,3.167782799557882,-0.5516229066397429,0.2671693194383766,0.16969696969696968,0.3641473564848178
2021-22,ppg,9103,2.187424016509604,3.051539700223382,-0.022894244800044726,0.2488670576351283,0.18181818181818182,0.3390673324496854
2021-22,form5,9103,2.2383719652861696,3.257987009423282,-0.5699036947526457,0.2486993187031223,0.17575757575757575,0.37149238646916666
2021-22,price,9103,2.3150335054377678,3.6241688717532723,-2.0398549928594965,0.19970856476012128,0.18636363636363637,0.35253612772962617
2021-22,naive_last,9103,2.6441832362957265,4.0143650657666825,-0.3952543117653521,0.215459242259939,0.19545454545454546,0.2414801715885307
2022-23,xgi,9872,1.7991392786579063,3.0696617748854944,-1.1452546187660937,0.28094313816875155,0.1578125,0.20893903545289794
2022-23,ppg,9872,2.0447110543620046,2.883782519603436,-0.04117099442385629,0.30489713659309614,0.1671875,0.377774740336418
2022-23,minutes_x_ppm,9872,2.053501411171959,2.9556348707489746,-0.43671540764974714,0.3196137551495797,0.17343750000000002,0.38084175281954885
2022-23,form5,9872,2.112655321447866,3.064233050434675,-0.4385129659643436,0.2905451352378461,0.1484375,0.34004914571260353
2022-23,price,9872,2.187092787682334,3.4627345942387446,-1.9624422609400323,0.19498247921150486,0.1546875,0.3767273952318415
2022-23,naive_last,9872,2.4864262560777957,3.8144515357569526,-0.2970016207455429,0.24636903608736788,0.16093749999999998,0.21787355772671974
2023-24,xgi,9905,1.8984841203114733,3.032823319205956,-0.7225656105315444,0.2924454875717163,0.18636363636363637,0.3531192722519097
2023-24,ppg,9905,2.0689883474068673,2.980777838146486,-0.07980159050510126,0.30033856461604774,0.1803030303030303,0.30150677187428127
2023-24,minutes_x_ppm,9905,2.078709686914899,3.060070529576005,-0.47338384472743794,0.31691370304456395,0.18636363636363637,0.3254553722934698
2023-24,form5,9905,2.124930169947838,3.142833736062828,-0.47560491334342925,0.2968068997690517,0.17272727272727273,0.3057210552950528
2023-24,price,9905,2.205531044926804,3.562341036775083,-2.001753154972236,0.2454907847811619,0.1893939393939394,0.35818622112690807
2023-24,naive_last,9905,2.5396264512872286,3.926983755177447,-0.2959111559818274,0.24486312744996935,0.14545454545454545,0.22636121160454548
2024-25,xgi,10030,1.8177040247669376,2.8903055885475273,-0.7036358231006783,0.3160010980464744,0.196969696969697,0.3789511749188813
2024-25,ppg,10030,1.965000910796509,2.8442469513986186,-0.1101386756279523,0.32294558228283315,0.1772727272727273,0.46156137754187165
2024-25,minutes_x_ppm,10030,2.002284298963457,2.9324979233291217,-0.43490116218914426,0.33142238790843576,0.18333333333333335,0.45443125276468804
2024-25,form5,10030,2.063462944499834,3.035710104231569,-0.4158956463941509,0.308049672723181,0.15,0.42319522299924645
2024-25,price,10030,2.1203449651046857,3.4133160307861816,-1.9104905284147555,0.2304102299641982,0.19696969696969696,0.28012381002059045
2024-25,naive_last,10030,2.451345962113659,3.7846175513478357,-0.26949152542372884,0.24967826357090575,0.14090909090909093,0.2788539330836715
2025-26,xgi,9972,1.945458064392935,3.0840592518764383,-1.018001992415242,0.27770547590264805,0.15151515151515155,0.4226661401769088
2025-26,ppg,9972,2.1253867297507236,2.966976066383728,-0.06230522494437326,0.2759079095958145,0.14999999999999997,0.3673649341017089
2025-26,minutes_x_ppm,9972,2.148152370176012,3.0681844645515137,-0.44461355096565114,0.2995324122200154,0.1318181818181818,0.40768170940300436
2025-26,form5,9972,2.2033744484556763,3.164315814996652,-0.46799538708383476,0.272881153977451,0.13636363636363635,0.29175482869284186
2025-26,price,9972,2.320021560369033,3.6338325672842657,-2.1170351985559566,0.13032455617866726,0.16666666666666669,0.3123890548611238
2025-26,naive_last,9972,2.6370838347372643,3.9625579141033818,-0.2917168070597673,0.2369592092736656,0.10757575757575759,0.2878235966757302
