as_of_utc,player_id,field,old,new
2026-08-19T14:49:03.238685+00:00,39,status,a,u
2026-08-19T14:49:03.238685+00:00,39,news,,Has joined Rangers on loan for the rest of the season
2026-08-19T14:49:03.238685+00:00,39,news_added,,2026-08-19T13:56:46.385411Z
2026-08-19T14:49:03.238685+00:00,39,chance_of_playing_next_round,,0
2026-08-19T14:49:03.238685+00:00,39,ep_next,1.0,0.0
2026-08-19T14:49:03.238685+00:00,594,now_cost,,60
2026-08-19T14:49:03.238685+00:00,594,status,,a
2026-08-19T14:49:03.238685+00:00,594,news,,
2026-08-19T14:49:03.238685+00:00,594,ep_next,,2.0
2026-08-19T14:49:03.238685+00:00,595,now_cost,,50
2026-08-19T14:49:03.238685+00:00,595,status,,a
2026-08-19T14:49:03.238685+00:00,595,news,,
2026-08-19T14:49:03.238685+00:00,595,ep_next,,1.5
2026-08-19T14:49:03.238685+00:00,333,status,a,u
2026-08-19T14:49:03.238685+00:00,333,news,,Has joined Hamburg SV on loan for the rest of the season
2026-08-19T14:49:03.238685+00:00,333,news_added,,2026-08-19T13:56:14.645970Z
2026-08-19T14:49:03.238685+00:00,333,chance_of_playing_next_round,,0
2026-08-19T14:49:03.238685+00:00,333,ep_next,1.7,0.0
2026-08-19T14:49:03.238685+00:00,348,status,a,u
2026-08-19T14:49:03.238685+00:00,348,news,,Has joined West Ham United on loan for the rest of the season
2026-08-19T14:49:03.238685+00:00,348,news_added,,2026-08-19T13:56:14.666726Z
2026-08-19T14:49:03.238685+00:00,348,chance_of_playing_next_round,,0
2026-08-19T14:49:03.238685+00:00,348,ep_next,1.4,0.0
2026-08-19T14:49:03.238685+00:00,402,status,i,u
2026-08-19T14:49:03.238685+00:00,402,news,Back injury - Unknown return date,Has joined Barcelona permanently
2026-08-19T14:49:03.238685+00:00,593,now_cost,,45
2026-08-19T14:49:03.238685+00:00,593,status,,a
2026-08-19T14:49:03.238685+00:00,593,news,,
2026-08-19T14:49:03.238685+00:00,593,ep_next,,1.7
2026-08-19T14:49:03.238685+00:00,494,status,a,u
2026-08-19T14:49:03.238685+00:00,494,news,,Has joined Juventus on loan for the rest of the season
2026-08-19T14:49:03.238685+00:00,494,news_added,,2026-08-19T13:55:33.193962Z
2026-08-19T14:49:03.238685+00:00,494,chance_of_playing_next_round,,0
2026-08-19T14:49:03.238685+00:00,494,ep_next,1.9,0.0
