as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-09T00:08:56.194656+00:00,1,60,38.9,123838,99433,5.0,15,270,a,
2026-09-09T00:08:56.194656+00:00,2,49,0.1,202,527,0.0,0,0,a,
2026-09-09T00:08:56.194656+00:00,3,49,0.0,78,189,0.0,0,0,a,
2026-09-09T00:08:56.194656+00:00,4,80,24.8,29849,129296,5.0,15,270,a,
2026-09-09T00:08:56.194656+00:00,5,65,0.1,415,904,0.0,0,0,d,25
2026-09-09T00:08:56.194656+00:00,6,59,0.2,558,2363,0.0,0,0,i,0
2026-09-09T00:08:56.194656+00:00,7,55,0.7,4466,5893,2.7,8,226,a,
2026-09-09T00:08:56.194656+00:00,8,57,47.7,258917,45147,7.3,22,236,a,
2026-09-09T00:08:56.194656+00:00,9,53,1.1,2336,11471,0.7,2,32,a,
2026-09-09T00:08:56.194656+00:00,10,55,7.6,67203,59315,6.7,20,270,a,100
2026-09-09T00:08:56.194656+00:00,11,54,3.5,576,93786,4.0,12,168,d,75
2026-09-09T00:08:56.194656+00:00,12,95,11.4,108096,63345,7.3,22,246,a,
2026-09-09T00:08:56.194656+00:00,13,74,13.6,15118,77146,4.3,13,241,a,
2026-09-09T00:08:56.194656+00:00,14,64,1.3,2613,17511,0.7,2,59,a,
2026-09-09T00:08:56.194656+00:00,15,66,13.6,264462,54409,8.0,24,221,a,
2026-09-09T00:08:56.194656+00:00,16,63,0.2,1045,2622,0.7,2,23,a,
2026-09-09T00:08:56.194656+00:00,17,59,0.5,1259,6494,0.7,2,46,a,
2026-09-09T00:08:56.194656+00:00,18,63,0.1,0,4638,0.0,0,0,u,0
2026-09-09T00:08:56.194656+00:00,19,54,0.7,1089,7173,1.0,3,50,a,
2026-09-09T00:08:56.194656+00:00,20,53,0.1,375,818,0.0,0,0,a,
2026-09-09T00:08:56.194656+00:00,21,49,0.1,61,702,0.0,0,0,i,0
2026-09-09T00:08:56.194656+00:00,22,54,0.0,0,240,0.0,0,0,u,0
2026-09-09T00:08:56.194656+00:00,23,55,0.0,0,197,0.0,0,0,u,0
2026-09-09T00:08:56.194656+00:00,24,55,0.0,0,71,0.0,0,0,u,0
2026-09-09T00:08:56.194656+00:00,25,73,4.1,4162,53855,0.3,1,12,a,
2026-09-09T00:08:56.194656+00:00,26,75,7.5,101883,39210,5.3,16,257,a,
