as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-02T18:37:54.729049+00:00,1,60,37.9,134023,142065,6.0,12,180,a,
2026-09-02T18:37:54.729049+00:00,2,50,0.1,428,857,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,3,50,0.0,108,314,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,4,80,26.5,33758,222332,6.5,13,180,a,
2026-09-02T18:37:54.729049+00:00,5,65,0.1,394,1877,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,6,60,0.2,936,4440,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,7,55,0.7,6382,8904,3.0,6,160,a,
2026-09-02T18:37:54.729049+00:00,8,56,43.5,327479,76199,10.0,20,170,a,
2026-09-02T18:37:54.729049+00:00,9,54,1.3,3751,24770,0.5,1,9,a,
2026-09-02T18:37:54.729049+00:00,10,55,7.2,108450,71187,9.0,18,180,a,100
2026-09-02T18:37:54.729049+00:00,11,55,5.0,10654,60233,6.0,12,168,a,
2026-09-02T18:37:54.729049+00:00,12,95,10.5,81265,63023,10.0,20,157,a,
2026-09-02T18:37:54.729049+00:00,13,75,15.0,15886,165323,4.0,8,151,a,
2026-09-02T18:37:54.729049+00:00,14,64,1.5,5867,28000,1.0,2,59,a,
2026-09-02T18:37:54.729049+00:00,15,66,11.3,86178,107705,7.0,14,145,a,
2026-09-02T18:37:54.729049+00:00,16,64,0.3,926,5367,0.5,1,22,a,
2026-09-02T18:37:54.729049+00:00,17,59,0.5,2436,10592,1.0,2,33,a,
2026-09-02T18:37:54.729049+00:00,18,63,0.2,941,4274,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,19,54,0.8,2938,13686,1.0,2,27,a,
2026-09-02T18:37:54.729049+00:00,20,54,0.1,494,1463,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,21,49,0.1,116,1606,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,22,54,0.0,157,265,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,23,55,0.0,175,179,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,24,55,0.0,4,246,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,25,73,5.2,6055,130348,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,26,75,7.0,51535,87960,4.0,8,180,a,
2026-09-02T18:37:54.729049+00:00,27,59,0.3,2250,6912,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,28,50,4.4,49725,38044,1.0,2,90,a,
2026-09-02T18:37:54.729049+00:00,29,45,0.1,1759,1679,0.5,1,90,a,
2026-09-02T18:37:54.729049+00:00,30,45,0.1,0,1672,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,31,44,10.5,149129,136516,0.5,1,11,a,
2026-09-02T18:37:54.729049+00:00,32,45,7.1,25009,52488,0.5,1,167,a,
2026-09-02T18:37:54.729049+00:00,33,45,0.4,2032,3490,0.5,1,16,a,
2026-09-02T18:37:54.729049+00:00,34,45,0.4,2951,2852,1.0,2,163,a,
2026-09-02T18:37:54.729049+00:00,35,50,0.1,697,925,0.5,1,16,a,
2026-09-02T18:37:54.729049+00:00,36,45,0.7,6226,5593,0.5,1,171,a,
2026-09-02T18:37:54.729049+00:00,37,45,0.3,2148,2042,0.0,0,180,a,
2026-09-02T18:37:54.729049+00:00,38,40,1.7,11290,11875,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,39,40,0.2,0,2960,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,40,75,25.0,159555,200370,6.5,13,171,a,
2026-09-02T18:37:54.729049+00:00,41,60,1.1,9956,15483,2.0,4,175,a,
2026-09-02T18:37:54.729049+00:00,42,55,0.0,377,729,1.0,2,54,a,
2026-09-02T18:37:54.729049+00:00,43,60,2.1,9047,35676,3.0,6,156,a,100
2026-09-02T18:37:54.729049+00:00,44,55,0.1,899,2322,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,45,55,2.5,10148,29718,1.0,2,171,a,
2026-09-02T18:37:54.729049+00:00,46,50,0.3,3525,2691,2.0,4,150,a,
2026-09-02T18:37:54.729049+00:00,47,50,0.3,3566,4116,2.0,4,180,a,100
2026-09-02T18:37:54.729049+00:00,48,50,0.0,114,441,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,49,50,0.0,0,56,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,50,45,0.7,6288,6566,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,51,45,0.9,22237,8922,2.0,4,160,a,
2026-09-02T18:37:54.729049+00:00,52,50,0.0,554,640,0.5,1,27,a,
2026-09-02T18:37:54.729049+00:00,53,59,0.1,251,3972,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,54,55,0.0,58,873,-1.0,-2,39,s,0
2026-09-02T18:37:54.729049+00:00,55,78,5.3,4250,203750,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,56,55,0.1,2503,1954,0.5,1,19,a,100
2026-09-02T18:37:54.729049+00:00,57,45,3.4,30715,22519,2.5,5,180,a,
2026-09-02T18:37:54.729049+00:00,58,40,3.4,24021,13773,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,59,40,0.2,0,2114,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,60,55,0.9,4897,7548,2.5,5,180,a,
2026-09-02T18:37:54.729049+00:00,61,55,3.9,8632,27151,2.5,5,180,a,
2026-09-02T18:37:54.729049+00:00,62,50,0.2,1376,2996,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,63,50,0.0,62,179,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,64,45,0.1,1178,1391,1.0,2,180,a,
2026-09-02T18:37:54.729049+00:00,65,45,0.0,61,289,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,66,40,0.3,4093,1708,0.0,0,0,a,100
2026-09-02T18:37:54.729049+00:00,67,65,2.4,7996,41168,2.0,4,178,a,
2026-09-02T18:37:54.729049+00:00,68,60,2.3,19257,32651,5.5,11,180,a,
2026-09-02T18:37:54.729049+00:00,69,60,1.9,39632,12060,7.0,14,176,a,
2026-09-02T18:37:54.729049+00:00,70,60,1.1,6984,15762,3.0,6,154,a,
2026-09-02T18:37:54.729049+00:00,71,50,0.2,4770,2673,3.0,6,143,a,
2026-09-02T18:37:54.729049+00:00,72,50,0.1,286,1116,0.5,1,1,a,
2026-09-02T18:37:54.729049+00:00,73,50,0.2,4125,3542,1.0,2,36,a,100
2026-09-02T18:37:54.729049+00:00,74,50,0.1,874,679,0.5,1,9,a,100
2026-09-02T18:37:54.729049+00:00,75,50,0.0,739,361,0.5,1,3,a,100
2026-09-02T18:37:54.729049+00:00,76,50,0.0,85,170,0.5,1,15,a,
2026-09-02T18:37:54.729049+00:00,77,49,0.0,110,490,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,78,74,0.2,199,6256,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,79,60,3.2,50553,28386,4.5,9,154,a,
2026-09-02T18:37:54.729049+00:00,80,55,0.0,0,402,0.0,0,0,u,0
2026-09-02T18:37:54.729049+00:00,81,60,0.1,1032,1390,0.5,1,9,a,100
2026-09-02T18:37:54.729049+00:00,82,50,7.2,68990,38022,4.5,9,180,a,
2026-09-02T18:37:54.729049+00:00,83,45,0.1,630,937,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,84,55,2.2,17563,13576,4.5,9,180,a,
2026-09-02T18:37:54.729049+00:00,85,49,0.1,92,1942,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,86,55,1.8,62387,16369,8.0,16,177,a,
2026-09-02T18:37:54.729049+00:00,87,45,4.8,88231,35240,5.5,11,180,a,
2026-09-02T18:37:54.729049+00:00,88,46,9.2,129911,53474,7.5,15,162,a,
2026-09-02T18:37:54.729049+00:00,89,45,0.2,406,1450,0.5,1,2,a,
2026-09-02T18:37:54.729049+00:00,90,45,0.1,491,644,1.0,2,16,a,
2026-09-02T18:37:54.729049+00:00,91,45,0.1,384,865,0.5,1,12,a,
2026-09-02T18:37:54.729049+00:00,92,45,0.0,108,201,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,93,45,0.2,115,966,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,94,60,3.9,69262,29254,6.5,13,177,a,
2026-09-02T18:37:54.729049+00:00,95,65,0.9,2845,18348,2.0,4,95,a,
2026-09-02T18:37:54.729049+00:00,96,55,0.5,2376,5016,2.0,4,82,a,
2026-09-02T18:37:54.729049+00:00,97,55,0.2,539,4406,3.0,6,66,d,75
2026-09-02T18:37:54.729049+00:00,98,50,0.6,21094,9354,5.0,10,180,a,
2026-09-02T18:37:54.729049+00:00,99,50,0.0,21,25,0.0,0,0,i,0
2026-09-02T18:37:54.729049+00:00,100,50,0.0,375,254,0.0,0,0,a,100
2026-09-02T18:37:54.729049+00:00,101,50,0.0,167,586,0.0,0,0,d,75
2026-09-02T18:37:54.729049+00:00,102,50,1.0,603,12512,1.0,2,44,a,
2026-09-02T18:37:54.729049+00:00,103,50,0.0,129,357,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,104,50,0.1,284,2481,1.0,2,90,a,
2026-09-02T18:37:54.729049+00:00,105,60,0.2,1155,2357,1.5,3,83,a,
2026-09-02T18:37:54.729049+00:00,106,80,14.5,40485,213749,1.0,2,172,a,
2026-09-02T18:37:54.729049+00:00,107,45,1.0,18499,9466,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,108,55,0.4,3853,5190,1.0,2,9,a,
2026-09-02T18:37:54.729049+00:00,109,45,21.6,157878,97551,3.0,6,180,a,
2026-09-02T18:37:54.729049+00:00,110,45,1.1,1819,11149,1.5,3,180,a,
2026-09-02T18:37:54.729049+00:00,111,40,4.2,35852,19862,0.0,0,0,a,
2026-09-02T18:37:54.729049+00:00,112,50,7.9,13103,144936,1.0,2,180,a,
2026-09-02T18:37:54.729049+00:00,113,44,2.0,8725,21057,0.0,0,90,a,100
2026-09-02T18:37:54.729049+00:00,114,45,0.3,4042,2800,2.5,5,180,a,
2026-09-02T18:37:54.729049+00:00,115,47,14.7,521077,73632,8.5,17,167,a,
2026-09-02T18:37:54.729049+00:00,116,45,1.2,13484,9627,2.5,5,180,a,
2026-09-02T18:37:54.729049+00:00,117,45,0.0,185,202,0.0,0,0,a,
