as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-13T00:55:49.294306+00:00,1,60,39.2,26415,6842,7.2,29,360,a,
2026-09-13T00:55:49.294306+00:00,2,49,0.1,14,56,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,3,49,0.0,15,32,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,4,80,23.7,4297,13767,6.0,24,360,a,
2026-09-13T00:55:49.294306+00:00,5,65,0.1,1764,183,0.2,1,45,a,100
2026-09-13T00:55:49.294306+00:00,6,59,0.2,80,299,0.0,0,0,i,0
2026-09-13T00:55:49.294306+00:00,7,55,0.7,481,1351,2.2,9,271,a,
2026-09-13T00:55:49.294306+00:00,8,58,49.4,35096,5275,7.0,28,326,a,
2026-09-13T00:55:49.294306+00:00,9,53,1.0,397,2084,0.5,2,32,a,
2026-09-13T00:55:49.294306+00:00,10,55,7.4,6056,25276,5.2,21,315,a,100
2026-09-13T00:55:49.294306+00:00,11,54,2.4,27,11624,3.0,12,168,d,50
2026-09-13T00:55:49.294306+00:00,12,95,11.4,9938,6970,7.5,30,336,a,
2026-09-13T00:55:49.294306+00:00,13,74,12.9,2507,10438,4.8,19,321,a,
2026-09-13T00:55:49.294306+00:00,14,63,1.2,333,2563,0.8,3,68,a,
2026-09-13T00:55:49.294306+00:00,15,67,18.6,41032,7859,6.8,27,305,a,
2026-09-13T00:55:49.294306+00:00,16,63,0.2,68,458,0.5,2,23,a,
2026-09-13T00:55:49.294306+00:00,17,58,0.4,163,978,0.8,3,51,a,
2026-09-13T00:55:49.294306+00:00,18,63,0.1,0,254,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,19,53,0.7,127,1285,1.0,4,59,a,
2026-09-13T00:55:49.294306+00:00,20,53,0.1,62,128,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,21,49,0.0,6,82,0.0,0,0,i,0
2026-09-13T00:55:49.294306+00:00,22,54,0.0,0,17,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,23,55,0.0,0,7,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,24,55,0.0,0,10,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,25,72,3.6,461,6977,0.2,1,12,a,
2026-09-13T00:55:49.294306+00:00,26,76,8.1,14693,7861,4.2,17,347,a,
2026-09-13T00:55:49.294306+00:00,27,59,0.2,0,375,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,28,50,5.1,3080,7163,1.8,7,270,a,
2026-09-13T00:55:49.294306+00:00,29,45,0.1,47,155,0.2,1,90,a,
2026-09-13T00:55:49.294306+00:00,30,45,0.1,0,76,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,31,45,17.1,43087,4565,2.8,11,191,a,
2026-09-13T00:55:49.294306+00:00,32,45,6.0,155,16767,1.8,7,251,d,75
2026-09-13T00:55:49.294306+00:00,33,45,0.4,317,520,1.8,7,171,a,
2026-09-13T00:55:49.294306+00:00,34,45,0.4,134,814,0.8,3,187,d,75
2026-09-13T00:55:49.294306+00:00,35,50,0.1,64,120,0.2,1,16,a,
2026-09-13T00:55:49.294306+00:00,36,45,0.8,445,2947,2.2,9,335,d,25
2026-09-13T00:55:49.294306+00:00,37,45,0.3,326,251,1.8,7,360,a,
2026-09-13T00:55:49.294306+00:00,38,40,1.6,1139,1392,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,39,40,0.1,0,142,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,40,77,35.2,112535,2867,6.8,27,347,a,
2026-09-13T00:55:49.294306+00:00,41,59,1.0,398,3081,2.2,9,311,a,
2026-09-13T00:55:49.294306+00:00,42,55,0.0,41,109,0.5,2,54,a,
2026-09-13T00:55:49.294306+00:00,43,59,1.7,1050,2251,2.0,8,246,a,100
2026-09-13T00:55:49.294306+00:00,44,54,0.1,0,248,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,45,54,2.3,1741,2428,2.8,11,351,a,
2026-09-13T00:55:49.294306+00:00,46,50,0.3,223,413,2.2,9,302,a,
2026-09-13T00:55:49.294306+00:00,47,50,0.3,250,544,2.2,9,360,a,100
2026-09-13T00:55:49.294306+00:00,48,49,0.0,8,30,0.0,0,0,i,0
2026-09-13T00:55:49.294306+00:00,49,50,0.0,0,5,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,50,45,0.6,309,838,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,51,45,1.3,2010,1606,2.0,8,279,a,
2026-09-13T00:55:49.294306+00:00,52,50,0.0,173,36,2.0,8,87,a,
2026-09-13T00:55:49.294306+00:00,53,59,0.1,222,133,0.2,1,27,a,100
2026-09-13T00:55:49.294306+00:00,54,55,0.0,44,40,-0.5,-2,39,a,100
2026-09-13T00:55:49.294306+00:00,55,78,2.9,0,5613,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,56,55,0.2,254,271,0.8,3,69,a,100
2026-09-13T00:55:49.294306+00:00,57,45,3.2,827,2616,1.8,7,360,a,
2026-09-13T00:55:49.294306+00:00,58,40,3.4,2366,1133,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,59,40,0.1,0,126,0.0,0,0,u,0
2026-09-13T00:55:49.294306+00:00,60,55,0.8,449,1072,2.0,8,360,a,
2026-09-13T00:55:49.294306+00:00,61,55,3.4,804,2910,2.0,8,360,a,
2026-09-13T00:55:49.294306+00:00,62,50,0.2,106,313,0.0,0,0,a,
2026-09-13T00:55:49.294306+00:00,63,49,0.0,5,17,0.0,0,0,i,0
2026-09-13T00:55:49.294306+00:00,64,45,0.1,127,199,0.5,2,360,a,
2026-09-13T00:55:49.294306+00:00,65,44,0.0,7,17,0.0,0,0,i,0
2026-09-13T00:55:49.294306+00:00,66,40,0.3,381,223,0.0,0,0,a,100
2026-09-13T00:55:49.294306+00:00,67,64,1.9,327,5175,2.0,8,347,a,
2026-09-13T00:55:49.294306+00:00,68,60,4.0,29473,2867,7.2,29,350,a,
2026-09-13T00:55:49.294306+00:00,69,61,5.9,12298,8184,7.0,28,356,a,
2026-09-13T00:55:49.294306+00:00,70,60,1.0,1743,956,3.8,15,294,a,
2026-09-13T00:55:49.294306+00:00,71,50,0.2,101,556,1.8,7,165,a,
