as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-18T18:22:54.588190+00:00,1,60,41.3,197,10,5.8,29,360,a,
2026-09-18T18:22:54.588190+00:00,2,49,0.1,0,0,0.0,0,0,a,
2026-09-18T18:22:54.588190+00:00,3,49,0.0,0,1,0.0,0,0,a,
2026-09-18T18:22:54.588190+00:00,4,80,23.0,14,43,4.8,24,360,a,
2026-09-18T18:22:54.588190+00:00,5,65,0.3,17,2,0.2,1,45,a,100
2026-09-18T18:22:54.588190+00:00,6,59,0.2,0,0,0.0,0,0,i,0
2026-09-18T18:22:54.588190+00:00,7,55,0.6,1,5,1.8,9,271,a,
2026-09-18T18:22:54.588190+00:00,8,58,50.2,85,27,5.6,28,326,a,
2026-09-18T18:22:54.588190+00:00,9,53,0.9,1,5,0.4,2,32,a,
2026-09-18T18:22:54.588190+00:00,10,55,5.3,9,81,4.2,21,315,a,100
2026-09-18T18:22:54.588190+00:00,11,53,1.7,4,9,2.4,12,168,a,100
2026-09-18T18:22:54.588190+00:00,12,95,13.4,115,14,6.0,30,336,a,
2026-09-18T18:22:54.588190+00:00,13,74,12.4,10,26,3.8,19,321,a,
2026-09-18T18:22:54.588190+00:00,14,63,1.0,6,8,0.6,3,68,a,
2026-09-18T18:22:54.588190+00:00,15,68,20.0,137,36,5.4,27,305,a,
2026-09-18T18:22:54.588190+00:00,16,62,0.2,0,0,0.4,2,23,a,
2026-09-18T18:22:54.588190+00:00,17,58,0.4,1,4,0.6,3,51,a,
2026-09-18T18:22:54.588190+00:00,18,63,0.1,0,1,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,19,53,0.6,1,2,0.8,4,59,a,
2026-09-18T18:22:54.588190+00:00,20,53,0.1,0,2,0.0,0,0,a,
2026-09-18T18:22:54.588190+00:00,21,49,0.0,1,0,0.0,0,0,i,0
2026-09-18T18:22:54.588190+00:00,22,54,0.0,0,0,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,23,55,0.0,0,0,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,24,55,0.0,0,0,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,25,72,3.1,10,20,0.2,1,12,a,
2026-09-18T18:22:54.588190+00:00,26,76,8.4,221,33,3.4,17,347,a,
2026-09-18T18:22:54.588190+00:00,27,59,0.2,0,0,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,28,50,4.8,15,14,1.4,7,270,a,
2026-09-18T18:22:54.588190+00:00,29,45,0.1,0,3,0.2,1,90,i,0
2026-09-18T18:22:54.588190+00:00,30,45,0.1,0,0,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,31,45,19.0,360,13,2.2,11,191,a,
2026-09-18T18:22:54.588190+00:00,32,44,5.0,6,12,1.4,7,251,a,100
2026-09-18T18:22:54.588190+00:00,33,45,0.4,2,1,1.4,7,171,a,
2026-09-18T18:22:54.588190+00:00,34,45,0.3,0,10,0.6,3,187,i,0
2026-09-18T18:22:54.588190+00:00,35,50,0.1,0,0,0.2,1,16,a,
2026-09-18T18:22:54.588190+00:00,36,45,0.5,0,20,1.8,9,335,i,0
2026-09-18T18:22:54.588190+00:00,37,45,0.3,0,1,1.4,7,360,a,
2026-09-18T18:22:54.588190+00:00,38,40,1.6,2,4,0.0,0,0,a,
2026-09-18T18:22:54.588190+00:00,39,40,0.1,0,1,0.0,0,0,u,0
2026-09-18T18:22:54.588190+00:00,40,77,40.3,366,4,5.4,27,347,a,
2026-09-18T18:22:54.588190+00:00,41,59,0.9,5,13,1.8,9,311,a,
2026-09-18T18:22:54.588190+00:00,42,54,0.0,0,1,0.4,2,54,a,
2026-09-18T18:22:54.588190+00:00,43,58,1.5,6,8,2.0,10,312,a,100
