as_of_utc,player_id,field,old,new
2026-09-18T16:57:43.396218+00:00,29,status,d,i
2026-09-18T16:57:43.396218+00:00,29,news,Back injury - 75% chance of playing,Back injury - Expected back 10 Oct
2026-09-18T16:57:43.396218+00:00,29,chance_of_playing_next_round,75,0
2026-09-18T16:57:43.396218+00:00,29,ep_next,0.2,0.0
2026-09-18T16:57:43.396218+00:00,34,status,d,i
2026-09-18T16:57:43.396218+00:00,34,news,Hamstring injury - 75% chance of playing,Hamstring injury - Expected back 10 Oct
2026-09-18T16:57:43.396218+00:00,34,chance_of_playing_next_round,75,0
2026-09-18T16:57:43.396218+00:00,34,ep_next,0.6,0.0
2026-09-18T16:57:43.396218+00:00,36,status,d,i
2026-09-18T16:57:43.396218+00:00,36,news,Ankle injury - 25% chance of playing,Ankle injury - Unknown return date
2026-09-18T16:57:43.396218+00:00,36,chance_of_playing_next_round,25,0
2026-09-18T16:57:43.396218+00:00,36,ep_next,0.6,0.0
2026-09-18T16:57:43.396218+00:00,54,status,d,a
2026-09-18T16:57:43.396218+00:00,54,news,Calf injury - 75% chance of playing,
2026-09-18T16:57:43.396218+00:00,54,chance_of_playing_next_round,75,100
2026-09-18T16:57:43.396218+00:00,54,ep_next,-0.4,-0.5
2026-09-18T16:57:43.396218+00:00,448,news,Ankle injury - Expected back 19 Sep,Ankle injury - Expected back 12 Oct
