as_of_utc,player_id,field,old,new
2026-09-05T11:36:16.872696+00:00,57,ep_next,1.7,2.0
2026-09-05T11:36:16.872696+00:00,57,ep_this,1.7,2.0
2026-09-05T11:36:16.872696+00:00,60,ep_next,1.7,2.0
2026-09-05T11:36:16.872696+00:00,60,ep_this,1.7,2.0
2026-09-05T11:36:16.872696+00:00,61,ep_next,1.7,2.0
2026-09-05T11:36:16.872696+00:00,61,ep_this,1.7,2.0
2026-09-05T11:36:16.872696+00:00,64,ep_next,0.7,1.0
2026-09-05T11:36:16.872696+00:00,64,ep_this,0.7,1.0
2026-09-05T11:36:16.872696+00:00,67,ep_next,1.3,1.7
2026-09-05T11:36:16.872696+00:00,67,ep_this,1.3,1.7
2026-09-05T11:36:16.872696+00:00,68,ep_next,3.7,4.0
2026-09-05T11:36:16.872696+00:00,68,ep_this,3.7,4.0
2026-09-05T11:36:16.872696+00:00,69,ep_next,4.7,5.0
2026-09-05T11:36:16.872696+00:00,69,ep_this,4.7,5.0
2026-09-05T11:36:16.872696+00:00,70,ep_next,2.0,2.3
2026-09-05T11:36:16.872696+00:00,70,ep_this,2.0,2.3
2026-09-05T11:36:16.872696+00:00,73,ep_next,0.7,1.0
2026-09-05T11:36:16.872696+00:00,73,ep_this,0.7,1.0
2026-09-05T11:36:16.872696+00:00,79,ep_next,3.0,3.3
2026-09-05T11:36:16.872696+00:00,79,ep_this,3.0,3.3
2026-09-05T11:36:16.872696+00:00,566,ep_next,2.0,2.3
2026-09-05T11:36:16.872696+00:00,566,ep_this,2.0,2.3
2026-09-05T11:36:16.872696+00:00,405,ep_next,0.7,1.0
2026-09-05T11:36:16.872696+00:00,405,ep_this,0.7,1.0
2026-09-05T11:36:16.872696+00:00,445,ep_next,3.0,3.3
2026-09-05T11:36:16.872696+00:00,445,ep_this,3.0,3.3
2026-09-05T11:36:16.872696+00:00,447,ep_next,2.7,3.0
2026-09-05T11:36:16.872696+00:00,447,ep_this,2.7,3.0
2026-09-05T11:36:16.872696+00:00,449,ep_next,4.7,5.0
2026-09-05T11:36:16.872696+00:00,449,ep_this,4.7,5.0
2026-09-05T11:36:16.872696+00:00,450,status,i,a
2026-09-05T11:36:16.872696+00:00,450,news,Calf injury - Unknown return date,
2026-09-05T11:36:16.872696+00:00,450,chance_of_playing_next_round,0,100
2026-09-05T11:36:16.872696+00:00,453,ep_next,1.7,2.0
2026-09-05T11:36:16.872696+00:00,453,ep_this,1.7,2.0
2026-09-05T11:36:16.872696+00:00,454,ep_next,5.7,6.0
2026-09-05T11:36:16.872696+00:00,454,ep_this,5.7,6.0
2026-09-05T11:36:16.872696+00:00,459,ep_next,2.0,2.3
2026-09-05T11:36:16.872696+00:00,459,ep_this,2.0,2.3
2026-09-05T11:36:16.872696+00:00,460,ep_next,3.0,3.3
2026-09-05T11:36:16.872696+00:00,460,ep_this,3.0,3.3
2026-09-05T11:36:16.872696+00:00,464,ep_next,4.0,4.3
2026-09-05T11:36:16.872696+00:00,464,ep_this,4.0,4.3
2026-09-05T11:36:16.872696+00:00,567,ep_next,2.7,3.0
2026-09-05T11:36:16.872696+00:00,567,ep_this,2.7,3.0
2026-09-05T11:36:16.872696+00:00,593,ep_next,4.0,4.3
2026-09-05T11:36:16.872696+00:00,593,ep_this,4.0,4.3
