as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-01T18:26:08.932427+00:00,1,60,38.0,109118,115698,6.0,12,180,a,
2026-09-01T18:26:08.932427+00:00,2,50,0.1,360,713,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,3,50,0.0,85,264,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,4,80,27.0,28355,184469,6.5,13,180,a,
2026-09-01T18:26:08.932427+00:00,5,65,0.1,339,1645,0.0,0,0,i,0
2026-09-01T18:26:08.932427+00:00,6,60,0.2,850,3927,0.0,0,0,i,0
2026-09-01T18:26:08.932427+00:00,7,55,0.7,5264,7329,3.0,6,160,a,
2026-09-01T18:26:08.932427+00:00,8,56,43.0,257000,64328,10.0,20,170,a,
2026-09-01T18:26:08.932427+00:00,9,54,1.3,3418,20754,0.5,1,9,a,
2026-09-01T18:26:08.932427+00:00,10,55,7.2,86930,57587,9.0,18,180,a,100
2026-09-01T18:26:08.932427+00:00,11,55,5.2,8942,48613,6.0,12,168,a,
2026-09-01T18:26:08.932427+00:00,12,95,10.4,61671,51784,10.0,20,157,a,
2026-09-01T18:26:08.932427+00:00,13,75,15.3,13546,137527,4.0,8,151,a,
2026-09-01T18:26:08.932427+00:00,14,64,1.5,4986,23256,1.0,2,59,a,
2026-09-01T18:26:08.932427+00:00,15,66,11.5,74285,85507,7.0,14,145,a,
2026-09-01T18:26:08.932427+00:00,16,64,0.3,844,4384,0.5,1,22,a,
2026-09-01T18:26:08.932427+00:00,17,59,0.5,2132,8965,1.0,2,33,a,
2026-09-01T18:26:08.932427+00:00,18,64,0.2,803,3635,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,19,54,0.9,2651,11421,1.0,2,27,a,
2026-09-01T18:26:08.932427+00:00,20,54,0.1,448,1247,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,21,50,0.1,77,1344,0.0,0,0,i,0
2026-09-01T18:26:08.932427+00:00,22,54,0.0,140,220,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,23,55,0.0,150,148,0.0,0,0,a,
2026-09-01T18:26:08.932427+00:00,24,55,0.0,4,214,0.0,0,0,u,0
