as_of_utc,player_id,field,old,new
2026-09-22T14:46:52.044138+00:00,32,ep_next,1.2,1.8
2026-09-22T14:46:52.044138+00:00,32,ep_this,1.2,1.8
2026-09-22T14:46:52.044138+00:00,33,ep_next,2.0,2.2
2026-09-22T14:46:52.044138+00:00,33,ep_this,2.0,2.2
2026-09-22T14:46:52.044138+00:00,35,ep_next,0.2,0.0
2026-09-22T14:46:52.044138+00:00,35,ep_this,0.2,0.0
2026-09-22T14:46:52.044138+00:00,37,ep_next,1.6,2.5
2026-09-22T14:46:52.044138+00:00,37,ep_this,1.6,2.5
2026-09-22T14:46:52.044138+00:00,41,ep_next,4.2,4.8
2026-09-22T14:46:52.044138+00:00,41,ep_this,4.2,4.8
2026-09-22T14:46:52.044138+00:00,45,ep_next,3.4,4.0
2026-09-22T14:46:52.044138+00:00,45,ep_this,3.4,4.0
2026-09-22T14:46:52.044138+00:00,47,ep_next,3.0,3.2
2026-09-22T14:46:52.044138+00:00,47,ep_this,3.0,3.2
2026-09-22T14:46:52.044138+00:00,52,ep_next,1.2,1.4
2026-09-22T14:46:52.044138+00:00,52,ep_this,1.6,1.8
2026-09-22T14:46:52.044138+00:00,53,ep_next,2.8,3.5
2026-09-22T14:46:52.044138+00:00,53,ep_this,2.8,3.5
2026-09-22T14:46:52.044138+00:00,54,ep_next,0.4,1.0
2026-09-22T14:46:52.044138+00:00,54,ep_this,0.4,1.0
2026-09-22T14:46:52.044138+00:00,56,ep_next,0.8,1.0
2026-09-22T14:46:52.044138+00:00,56,ep_this,0.8,1.0
2026-09-22T14:46:52.044138+00:00,160,ep_next,0.6,0.5
2026-09-22T14:46:52.044138+00:00,160,ep_this,0.6,0.5
2026-09-22T14:46:52.044138+00:00,597,ep_next,3.2,4.0
2026-09-22T14:46:52.044138+00:00,597,ep_this,3.2,4.0
2026-09-22T14:46:52.044138+00:00,60,ep_next,2.4,2.8
2026-09-22T14:46:52.044138+00:00,60,ep_this,2.4,2.8
2026-09-22T14:46:52.044138+00:00,61,ep_next,2.0,2.2
2026-09-22T14:46:52.044138+00:00,61,ep_this,2.0,2.2
2026-09-22T14:46:52.044138+00:00,68,ep_next,6.2,5.2
2026-09-22T14:46:52.044138+00:00,68,ep_this,6.2,5.2
2026-09-22T14:46:52.044138+00:00,69,ep_next,6.0,7.0
2026-09-22T14:46:52.044138+00:00,69,ep_this,6.0,7.0
2026-09-22T14:46:52.044138+00:00,71,ep_next,1.6,1.2
2026-09-22T14:46:52.044138+00:00,71,ep_this,1.6,1.2
2026-09-22T14:46:52.044138+00:00,73,ep_next,2.4,2.8
2026-09-22T14:46:52.044138+00:00,73,ep_this,2.4,2.8
2026-09-22T14:46:52.044138+00:00,74,ep_next,0.6,0.8
2026-09-22T14:46:52.044138+00:00,74,ep_this,0.6,0.8
2026-09-22T14:46:52.044138+00:00,75,ep_next,1.0,1.2
2026-09-22T14:46:52.044138+00:00,75,ep_this,1.0,1.2
2026-09-22T14:46:52.044138+00:00,76,ep_next,0.4,0.2
2026-09-22T14:46:52.044138+00:00,76,ep_this,0.4,0.2
2026-09-22T14:46:52.044138+00:00,79,ep_next,3.6,3.5
2026-09-22T14:46:52.044138+00:00,79,ep_this,3.6,3.5
2026-09-22T14:46:52.044138+00:00,81,ep_next,0.4,0.5
2026-09-22T14:46:52.044138+00:00,81,ep_this,0.4,0.5
2026-09-22T14:46:52.044138+00:00,566,ep_next,2.6,2.8
2026-09-22T14:46:52.044138+00:00,566,ep_this,2.6,2.8
2026-09-22T14:46:52.044138+00:00,608,ep_next,0.6,0.5
2026-09-22T14:46:52.044138+00:00,608,ep_this,0.6,0.5
2026-09-22T14:46:52.044138+00:00,109,ep_next,4.6,4.2
2026-09-22T14:46:52.044138+00:00,109,ep_this,4.6,4.2
2026-09-22T14:46:52.044138+00:00,113,ep_next,2.6,3.2
2026-09-22T14:46:52.044138+00:00,113,ep_this,2.6,3.2
2026-09-22T14:46:52.044138+00:00,114,ep_next,3.8,3.2
2026-09-22T14:46:52.044138+00:00,114,ep_this,3.8,3.2
2026-09-22T14:46:52.044138+00:00,115,ep_next,7.6,5.2
2026-09-22T14:46:52.044138+00:00,115,ep_this,7.6,5.2
2026-09-22T14:46:52.044138+00:00,116,ep_next,3.3,3.0
2026-09-22T14:46:52.044138+00:00,116,ep_this,4.4,4.0
2026-09-22T14:46:52.044138+00:00,124,ep_next,9.4,11.2
2026-09-22T14:46:52.044138+00:00,124,ep_this,9.4,11.2
2026-09-22T14:46:52.044138+00:00,125,ep_next,1.2,0.2
2026-09-22T14:46:52.044138+00:00,125,ep_this,1.2,0.2
2026-09-22T14:46:52.044138+00:00,126,ep_next,0.4,0.5
2026-09-22T14:46:52.044138+00:00,126,ep_this,0.4,0.5
2026-09-22T14:46:52.044138+00:00,127,ep_next,4.8,4.5
2026-09-22T14:46:52.044138+00:00,127,ep_this,4.8,4.5
2026-09-22T14:46:52.044138+00:00,129,ep_next,3.0,3.2
2026-09-22T14:46:52.044138+00:00,129,ep_this,3.0,3.2
2026-09-22T14:46:52.044138+00:00,138,ep_next,5.6,6.8
2026-09-22T14:46:52.044138+00:00,138,ep_this,5.6,6.8
2026-09-22T14:46:52.044138+00:00,328,status,a,d
2026-09-22T14:46:52.044138+00:00,328,news,,Hamstring injury - 75% chance of playing
2026-09-22T14:46:52.044138+00:00,328,news_added,2026-08-15T20:30:07.523574Z,2026-09-22T10:00:09.404233Z
2026-09-22T14:46:52.044138+00:00,328,chance_of_playing_next_round,100,75
2026-09-22T14:46:52.044138+00:00,328,ep_this,1.4,1.8
2026-09-22T14:46:52.044138+00:00,504,ep_next,6.4,6.5
2026-09-22T14:46:52.044138+00:00,504,ep_this,6.4,6.5
2026-09-22T14:46:52.044138+00:00,600,ep_next,0.6,0.5
2026-09-22T14:46:52.044138+00:00,600,ep_this,0.6,0.5
2026-09-22T14:46:52.044138+00:00,605,ep_next,4.0,4.8
2026-09-22T14:46:52.044138+00:00,605,ep_this,4.0,4.8
2026-09-22T14:46:52.044138+00:00,28,ep_next,1.8,2.2
2026-09-22T14:46:52.044138+00:00,28,ep_this,1.8,2.2
2026-09-22T14:46:52.044138+00:00,384,ep_next,3.8,4.0
2026-09-22T14:46:52.044138+00:00,384,ep_this,3.8,4.0
2026-09-22T14:46:52.044138+00:00,387,ep_next,1.2,1.0
2026-09-22T14:46:52.044138+00:00,387,ep_this,1.2,1.0
2026-09-22T14:46:52.044138+00:00,388,ep_next,6.0,5.0
2026-09-22T14:46:52.044138+00:00,388,ep_this,6.0,5.0
2026-09-22T14:46:52.044138+00:00,389,ep_next,2.2,2.5
2026-09-22T14:46:52.044138+00:00,389,ep_this,2.2,2.5
2026-09-22T14:46:52.044138+00:00,390,ep_next,3.4,3.8
2026-09-22T14:46:52.044138+00:00,390,ep_this,3.4,3.8
2026-09-22T14:46:52.044138+00:00,391,ep_next,7.4,7.0
2026-09-22T14:46:52.044138+00:00,391,ep_this,7.4,7.0
2026-09-22T14:46:52.044138+00:00,395,ep_next,0.2,0.0
2026-09-22T14:46:52.044138+00:00,395,ep_this,0.2,0.0
2026-09-22T14:46:52.044138+00:00,397,ep_next,6.6,7.8
2026-09-22T14:46:52.044138+00:00,397,ep_this,6.6,7.8
2026-09-22T14:46:52.044138+00:00,399,ep_next,6.8,6.5
2026-09-22T14:46:52.044138+00:00,399,ep_this,6.8,6.5
2026-09-22T14:46:52.044138+00:00,406,ep_next,0.4,0.2
2026-09-22T14:46:52.044138+00:00,406,ep_this,0.4,0.2
2026-09-22T14:46:52.044138+00:00,411,ep_next,7.8,9.2
2026-09-22T14:46:52.044138+00:00,411,ep_this,7.8,9.2
