as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-22T18:49:13.175773+00:00,1,61,42.2,103013,33195,6.0,30,450,a,
2026-09-22T18:49:13.175773+00:00,2,49,0.1,75,178,0.0,0,0,a,
2026-09-22T18:49:13.175773+00:00,3,49,0.0,36,83,0.0,0,0,a,
2026-09-22T18:49:13.175773+00:00,4,80,22.8,17173,51984,5.0,25,450,a,
2026-09-22T18:49:13.175773+00:00,5,65,0.4,8930,2799,0.2,1,104,a,100
2026-09-22T18:49:13.175773+00:00,6,59,0.2,276,814,0.0,0,0,i,0
2026-09-22T18:49:13.175773+00:00,7,54,0.6,648,4059,1.5,9,271,a,
2026-09-22T18:49:13.175773+00:00,8,58,50.6,56561,47879,5.0,29,416,a,
2026-09-22T18:49:13.175773+00:00,9,52,0.9,1027,4586,0.2,2,32,a,
2026-09-22T18:49:13.175773+00:00,10,55,5.1,3106,52292,2.5,21,315,d,75
2026-09-22T18:49:13.175773+00:00,11,53,1.7,855,7174,1.5,12,168,a,100
2026-09-22T18:49:13.175773+00:00,12,95,13.5,75053,35178,5.8,32,416,a,
2026-09-22T18:49:13.175773+00:00,13,74,12.0,6931,52628,4.2,20,411,d,75
2026-09-22T18:49:13.175773+00:00,14,63,1.0,1525,5156,0.8,4,85,a,
2026-09-22T18:49:13.175773+00:00,15,68,19.8,56617,69898,4.5,29,377,a,
2026-09-22T18:49:13.175773+00:00,16,62,0.2,540,1219,0.2,2,23,a,
2026-09-22T18:49:13.175773+00:00,17,58,0.4,487,2279,0.8,4,81,a,
2026-09-22T18:49:13.175773+00:00,18,63,0.1,0,399,0.0,0,0,u,0
2026-09-22T18:49:13.175773+00:00,19,53,0.6,363,2876,1.0,5,89,a,
2026-09-22T18:49:13.175773+00:00,20,53,0.1,336,430,0.2,1,9,a,
2026-09-22T18:49:13.175773+00:00,21,49,0.0,25,224,0.0,0,0,i,0
2026-09-22T18:49:13.175773+00:00,22,54,0.0,0,38,0.0,0,0,u,0
2026-09-22T18:49:13.175773+00:00,23,55,0.0,0,27,0.0,0,0,u,0
2026-09-22T18:49:13.175773+00:00,24,55,0.0,0,14,0.0,0,0,u,0
2026-09-22T18:49:13.175773+00:00,25,71,3.1,4209,12618,0.5,2,29,a,
2026-09-22T18:49:13.175773+00:00,26,76,8.5,44109,35857,3.2,19,437,a,
2026-09-22T18:49:13.175773+00:00,27,59,0.1,0,697,0.0,0,0,u,0
