as_of_utc,player_id,field,old,new
2026-08-28T22:53:48.945836+00:00,42,ep_next,0.5,1.0
2026-08-28T22:53:48.945836+00:00,42,ep_this,0.5,1.0
2026-08-28T22:53:48.945836+00:00,153,ep_next,0.0,0.5
2026-08-28T22:53:48.945836+00:00,153,ep_this,0.0,0.5
2026-08-28T22:53:48.945836+00:00,198,ep_next,1.0,1.5
2026-08-28T22:53:48.945836+00:00,198,ep_this,1.0,1.5
2026-08-28T22:53:48.945836+00:00,207,ep_next,0.0,0.5
2026-08-28T22:53:48.945836+00:00,207,ep_this,0.0,0.5
2026-08-28T22:53:48.945836+00:00,210,ep_next,2.0,3.0
2026-08-28T22:53:48.945836+00:00,210,ep_this,2.0,3.0
2026-08-28T22:53:48.945836+00:00,211,ep_next,0.5,3.0
2026-08-28T22:53:48.945836+00:00,211,ep_this,0.5,3.0
2026-08-28T22:53:48.945836+00:00,214,ep_next,1.5,2.5
2026-08-28T22:53:48.945836+00:00,214,ep_this,1.5,2.5
2026-08-28T22:53:48.945836+00:00,222,ep_next,0.5,1.5
2026-08-28T22:53:48.945836+00:00,222,ep_this,0.5,1.5
2026-08-28T22:53:48.945836+00:00,223,status,a,i
2026-08-28T22:53:48.945836+00:00,223,news,,Hamstring injury - Expected back 11 Oct
2026-08-28T22:53:48.945836+00:00,223,news_added,,2026-08-28T21:00:08.020382Z
2026-08-28T22:53:48.945836+00:00,223,chance_of_playing_next_round,,0
2026-08-28T22:53:48.945836+00:00,223,ep_next,1.0,0.0
2026-08-28T22:53:48.945836+00:00,224,ep_next,0.5,1.5
2026-08-28T22:53:48.945836+00:00,224,ep_this,0.5,1.5
2026-08-28T22:53:48.945836+00:00,241,ep_next,1.0,1.5
2026-08-28T22:53:48.945836+00:00,241,ep_this,1.0,1.5
2026-08-28T22:53:48.945836+00:00,577,ep_next,0.5,1.0
2026-08-28T22:53:48.945836+00:00,577,ep_this,0.5,1.0
2026-08-28T22:53:48.945836+00:00,588,ep_next,0.5,1.5
2026-08-28T22:53:48.945836+00:00,588,ep_this,0.5,1.5
2026-08-28T22:53:48.945836+00:00,595,ep_next,0.0,0.5
2026-08-28T22:53:48.945836+00:00,595,ep_this,0.0,0.5
2026-08-28T22:53:48.945836+00:00,387,ep_next,1.0,2.0
2026-08-28T22:53:48.945836+00:00,387,ep_this,1.0,2.0
2026-08-28T22:53:48.945836+00:00,388,ep_next,5.0,6.0
2026-08-28T22:53:48.945836+00:00,388,ep_this,5.0,6.0
2026-08-28T22:53:48.945836+00:00,390,ep_next,1.0,2.0
2026-08-28T22:53:48.945836+00:00,390,ep_this,1.0,2.0
2026-08-28T22:53:48.945836+00:00,391,ep_next,4.5,7.0
2026-08-28T22:53:48.945836+00:00,391,ep_this,4.5,7.0
2026-08-28T22:53:48.945836+00:00,393,ep_next,1.0,2.0
2026-08-28T22:53:48.945836+00:00,393,ep_this,1.0,2.0
2026-08-28T22:53:48.945836+00:00,396,ep_next,0.0,0.5
2026-08-28T22:53:48.945836+00:00,396,ep_this,0.0,0.5
2026-08-28T22:53:48.945836+00:00,397,ep_next,1.0,3.5
2026-08-28T22:53:48.945836+00:00,397,ep_this,1.0,3.5
2026-08-28T22:53:48.945836+00:00,398,ep_next,0.5,5.0
2026-08-28T22:53:48.945836+00:00,398,ep_this,0.5,5.0
2026-08-28T22:53:48.945836+00:00,399,ep_next,4.0,11.0
2026-08-28T22:53:48.945836+00:00,399,ep_this,4.0,11.0
2026-08-28T22:53:48.945836+00:00,406,ep_next,0.5,1.0
2026-08-28T22:53:48.945836+00:00,406,ep_this,0.5,1.0
2026-08-28T22:53:48.945836+00:00,411,ep_next,1.0,7.5
2026-08-28T22:53:48.945836+00:00,411,ep_this,1.0,7.5
2026-08-28T22:53:48.945836+00:00,481,ep_next,1.0,2.5
2026-08-28T22:53:48.945836+00:00,481,ep_this,1.0,2.5
2026-08-28T22:53:48.945836+00:00,621,now_cost,,45
2026-08-28T22:53:48.945836+00:00,621,status,,a
2026-08-28T22:53:48.945836+00:00,621,news,,
2026-08-28T22:53:48.945836+00:00,621,ep_next,,1.0
2026-08-28T22:53:48.945836+00:00,621,ep_this,,1.0
2026-08-28T22:53:48.945836+00:00,622,now_cost,,40
2026-08-28T22:53:48.945836+00:00,622,status,,a
2026-08-28T22:53:48.945836+00:00,622,news,,
2026-08-28T22:53:48.945836+00:00,622,ep_next,,1.0
2026-08-28T22:53:48.945836+00:00,622,ep_this,,1.0
