as_of_utc,player_id,field,old,new
2026-08-28T05:20:35.230813+00:00,9,now_cost,55,54
2026-08-28T05:20:35.230813+00:00,9,ep_next,2.5,2.4
2026-08-28T05:20:35.230813+00:00,9,ep_this,2.5,2.4
2026-08-28T05:20:35.230813+00:00,15,now_cost,65,66
2026-08-28T05:20:35.230813+00:00,16,now_cost,65,64
2026-08-28T05:20:35.230813+00:00,452,now_cost,70,69
2026-08-28T05:20:35.230813+00:00,208,now_cost,65,64
2026-08-28T05:20:35.230813+00:00,481,now_cost,65,64
2026-08-28T05:20:35.230813+00:00,518,now_cost,50,49
