as_of_utc,player_id,field,old,new
2026-09-21T19:21:29.557414+00:00,82,ep_next,4.0,3.2
2026-09-21T19:21:29.557414+00:00,82,ep_this,4.0,3.2
2026-09-21T19:21:29.557414+00:00,86,ep_next,4.4,3.0
2026-09-21T19:21:29.557414+00:00,86,ep_this,4.4,3.0
2026-09-21T19:21:29.557414+00:00,87,ep_next,4.2,3.2
2026-09-21T19:21:29.557414+00:00,87,ep_this,4.2,3.2
2026-09-21T19:21:29.557414+00:00,88,ep_next,4.6,2.5
2026-09-21T19:21:29.557414+00:00,88,ep_this,4.6,2.5
2026-09-21T19:21:29.557414+00:00,93,ep_next,4.2,5.2
2026-09-21T19:21:29.557414+00:00,93,ep_this,4.2,5.2
2026-09-21T19:21:29.557414+00:00,94,ep_next,7.8,9.0
2026-09-21T19:21:29.557414+00:00,94,ep_this,7.8,9.0
2026-09-21T19:21:29.557414+00:00,95,ep_next,1.4,1.0
2026-09-21T19:21:29.557414+00:00,95,ep_this,1.4,1.0
2026-09-21T19:21:29.557414+00:00,96,ep_next,3.2,3.8
2026-09-21T19:21:29.557414+00:00,96,ep_this,3.2,3.8
2026-09-21T19:21:29.557414+00:00,98,ep_next,5.6,4.8
2026-09-21T19:21:29.557414+00:00,98,ep_this,5.6,4.8
2026-09-21T19:21:29.557414+00:00,100,ep_next,1.2,1.5
2026-09-21T19:21:29.557414+00:00,100,ep_this,1.2,1.5
2026-09-21T19:21:29.557414+00:00,102,ep_next,1.8,2.0
2026-09-21T19:21:29.557414+00:00,102,ep_this,1.8,2.0
2026-09-21T19:21:29.557414+00:00,105,ep_next,3.0,3.5
2026-09-21T19:21:29.557414+00:00,105,ep_this,3.0,3.5
2026-09-21T19:21:29.557414+00:00,106,ep_next,2.0,2.5
2026-09-21T19:21:29.557414+00:00,106,ep_this,2.0,2.5
2026-09-21T19:21:29.557414+00:00,108,ep_next,0.6,0.5
2026-09-21T19:21:29.557414+00:00,108,ep_this,0.6,0.5
2026-09-21T19:21:29.557414+00:00,565,ep_next,4.4,2.0
2026-09-21T19:21:29.557414+00:00,565,ep_this,4.4,2.0
2026-09-21T19:21:29.557414+00:00,91,ep_next,2.8,3.5
2026-09-21T19:21:29.557414+00:00,91,ep_this,2.8,3.5
2026-09-21T19:21:29.557414+00:00,42,ep_next,0.4,0.2
2026-09-21T19:21:29.557414+00:00,42,ep_this,0.4,0.2
2026-09-21T19:21:29.557414+00:00,199,ep_next,1.6,2.0
2026-09-21T19:21:29.557414+00:00,199,ep_this,1.6,2.0
2026-09-21T19:21:29.557414+00:00,203,ep_next,2.0,2.2
2026-09-21T19:21:29.557414+00:00,203,ep_this,2.0,2.2
2026-09-21T19:21:29.557414+00:00,204,ep_next,4.8,5.8
2026-09-21T19:21:29.557414+00:00,204,ep_this,4.8,5.8
2026-09-21T19:21:29.557414+00:00,207,ep_next,0.4,0.5
2026-09-21T19:21:29.557414+00:00,207,ep_this,0.4,0.5
2026-09-21T19:21:29.557414+00:00,210,ep_next,2.4,2.0
2026-09-21T19:21:29.557414+00:00,210,ep_this,2.4,2.0
2026-09-21T19:21:29.557414+00:00,211,ep_next,2.8,3.2
2026-09-21T19:21:29.557414+00:00,211,ep_this,2.8,3.2
2026-09-21T19:21:29.557414+00:00,212,ep_next,0.4,0.5
2026-09-21T19:21:29.557414+00:00,212,ep_this,0.4,0.5
2026-09-21T19:21:29.557414+00:00,214,ep_next,4.2,4.5
2026-09-21T19:21:29.557414+00:00,214,ep_this,4.2,4.5
2026-09-21T19:21:29.557414+00:00,222,ep_next,2.8,3.2
2026-09-21T19:21:29.557414+00:00,222,ep_this,2.8,3.2
2026-09-21T19:21:29.557414+00:00,224,ep_next,1.6,1.8
2026-09-21T19:21:29.557414+00:00,224,ep_this,1.6,1.8
2026-09-21T19:21:29.557414+00:00,241,ep_next,0.6,0.2
2026-09-21T19:21:29.557414+00:00,241,ep_this,0.6,0.2
2026-09-21T19:21:29.557414+00:00,577,ep_this,0.6,0.5
2026-09-21T19:21:29.557414+00:00,588,ep_next,3.8,4.5
2026-09-21T19:21:29.557414+00:00,588,ep_this,3.8,4.5
2026-09-21T19:21:29.557414+00:00,595,ep_next,0.4,0.5
2026-09-21T19:21:29.557414+00:00,595,ep_this,0.4,0.5
2026-09-21T19:21:29.557414+00:00,209,ep_next,1.8,2.0
2026-09-21T19:21:29.557414+00:00,209,ep_this,1.8,2.0
2026-09-21T19:21:29.557414+00:00,226,ep_next,5.0,4.5
2026-09-21T19:21:29.557414+00:00,226,ep_this,5.0,4.5
2026-09-21T19:21:29.557414+00:00,229,ep_next,8.6,9.2
2026-09-21T19:21:29.557414+00:00,229,ep_this,8.6,9.2
2026-09-21T19:21:29.557414+00:00,230,ep_next,5.4,5.2
