as_of_utc,player_id,field,old,new
2026-09-21T23:14:31.940605+00:00,35,now_cost,50,49
2026-09-21T23:14:31.940605+00:00,61,now_cost,55,54
2026-09-21T23:14:31.940605+00:00,94,now_cost,61,62
2026-09-21T23:14:31.940605+00:00,144,now_cost,50,49
2026-09-21T23:14:31.940605+00:00,165,now_cost,78,77
2026-09-21T23:14:31.940605+00:00,186,now_cost,54,53
2026-09-21T23:14:31.940605+00:00,195,now_cost,50,49
2026-09-21T23:14:31.940605+00:00,213,now_cost,49,48
2026-09-21T23:14:31.940605+00:00,218,now_cost,49,48
2026-09-21T23:14:31.940605+00:00,323,now_cost,45,44
2026-09-21T23:14:31.940605+00:00,387,now_cost,64,63
2026-09-21T23:14:31.940605+00:00,426,now_cost,120,119
2026-09-21T23:14:31.940605+00:00,449,now_cost,52,53
2026-09-21T23:14:31.940605+00:00,473,now_cost,45,44
2026-09-21T23:14:31.940605+00:00,520,now_cost,54,53
