as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-17T00:29:00.287749+00:00,1,60,40.8,190068,36726,7.2,29,360,a,
2026-09-17T00:29:00.287749+00:00,2,49,0.1,129,410,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,3,49,0.0,56,152,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,4,80,23.4,31390,72299,6.0,24,360,a,
2026-09-17T00:29:00.287749+00:00,5,65,0.2,12980,2280,0.2,1,45,a,100
2026-09-17T00:29:00.287749+00:00,6,59,0.2,330,1604,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,7,55,0.6,2351,7652,2.2,9,271,a,
2026-09-17T00:29:00.287749+00:00,8,58,50.2,180613,46898,7.0,28,326,a,
2026-09-17T00:29:00.287749+00:00,9,53,0.9,1928,11887,0.5,2,32,a,
2026-09-17T00:29:00.287749+00:00,10,55,6.3,17588,144646,5.2,21,315,d,75
2026-09-17T00:29:00.287749+00:00,11,53,1.9,136,59001,3.0,12,168,d,50
2026-09-17T00:29:00.287749+00:00,12,95,12.4,120935,38424,7.5,30,336,a,
2026-09-17T00:29:00.287749+00:00,13,74,12.6,19464,54635,4.8,19,321,a,
2026-09-17T00:29:00.287749+00:00,14,63,1.1,2221,12984,0.8,3,68,a,
2026-09-17T00:29:00.287749+00:00,15,67,19.5,213676,78678,6.8,27,305,a,
2026-09-17T00:29:00.287749+00:00,16,62,0.2,785,2714,0.5,2,23,a,
2026-09-17T00:29:00.287749+00:00,17,58,0.4,992,4895,0.8,3,51,a,
2026-09-17T00:29:00.287749+00:00,18,63,0.1,0,1156,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,19,53,0.6,1111,6539,1.0,4,59,a,
2026-09-17T00:29:00.287749+00:00,20,53,0.1,630,814,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,21,49,0.0,33,508,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,22,54,0.0,0,87,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,23,55,0.0,0,68,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,24,55,0.0,0,45,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,25,72,3.3,2677,39138,0.2,1,12,a,
2026-09-17T00:29:00.287749+00:00,26,76,7.9,58418,66574,4.2,17,347,a,
2026-09-17T00:29:00.287749+00:00,27,59,0.2,0,1789,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,28,50,4.9,14103,37900,1.8,7,270,a,
2026-09-17T00:29:00.287749+00:00,29,45,0.1,347,850,0.2,1,90,a,
2026-09-17T00:29:00.287749+00:00,30,45,0.1,0,321,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,31,45,18.3,215165,37653,2.8,11,191,a,
2026-09-17T00:29:00.287749+00:00,32,44,5.2,901,89193,1.8,7,251,a,100
2026-09-17T00:29:00.287749+00:00,33,45,0.4,2032,3297,1.8,7,171,a,
2026-09-17T00:29:00.287749+00:00,34,45,0.4,213,5570,0.8,3,187,d,75
2026-09-17T00:29:00.287749+00:00,35,50,0.1,368,697,0.2,1,16,a,
2026-09-17T00:29:00.287749+00:00,36,45,0.7,516,17817,2.2,9,335,d,25
2026-09-17T00:29:00.287749+00:00,37,45,0.3,2013,2166,1.8,7,360,a,
2026-09-17T00:29:00.287749+00:00,38,40,1.6,5332,9601,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,39,40,0.1,0,853,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,40,77,38.2,450895,35931,6.8,27,347,a,
2026-09-17T00:29:00.287749+00:00,41,59,0.9,3318,13480,2.2,9,311,a,
2026-09-17T00:29:00.287749+00:00,42,55,0.0,223,568,0.5,2,54,a,
2026-09-17T00:29:00.287749+00:00,43,58,1.6,6045,16655,2.5,10,312,a,100
2026-09-17T00:29:00.287749+00:00,44,54,0.1,0,1200,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,45,54,2.3,11191,14169,2.8,11,351,a,
2026-09-17T00:29:00.287749+00:00,46,50,0.3,1531,2518,2.2,9,302,a,
2026-09-17T00:29:00.287749+00:00,47,50,0.3,1399,3156,2.2,9,360,a,100
2026-09-17T00:29:00.287749+00:00,48,49,0.0,41,154,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,49,50,0.0,0,17,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,50,45,0.6,1499,4909,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,51,45,1.3,9759,10577,2.0,8,279,a,
2026-09-17T00:29:00.287749+00:00,52,50,0.1,1111,389,2.0,8,87,a,
2026-09-17T00:29:00.287749+00:00,53,59,0.1,1269,718,0.2,1,27,a,100
2026-09-17T00:29:00.287749+00:00,54,55,0.0,371,194,-0.5,-2,39,d,75
2026-09-17T00:29:00.287749+00:00,55,78,2.7,0,25157,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,56,55,0.2,1709,1842,0.8,3,69,a,100
2026-09-17T00:29:00.287749+00:00,57,45,3.1,4407,16407,1.8,7,360,a,
2026-09-17T00:29:00.287749+00:00,58,40,3.5,14358,9500,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,59,40,0.1,0,707,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,60,55,0.8,2212,6832,2.0,8,360,a,
2026-09-17T00:29:00.287749+00:00,61,55,3.2,4059,20685,2.0,8,360,a,
2026-09-17T00:29:00.287749+00:00,62,50,0.2,672,1640,0.0,0,0,a,
2026-09-17T00:29:00.287749+00:00,63,49,0.0,42,67,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,64,45,0.1,563,1271,0.5,2,360,a,
2026-09-17T00:29:00.287749+00:00,65,44,0.0,55,112,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,66,40,0.3,1686,1661,0.0,0,0,a,100
2026-09-17T00:29:00.287749+00:00,67,64,1.7,2565,23642,2.0,8,347,a,
2026-09-17T00:29:00.287749+00:00,68,61,5.7,211232,31678,7.2,29,350,a,
2026-09-17T00:29:00.287749+00:00,69,61,5.9,51830,49385,7.0,28,356,a,
2026-09-17T00:29:00.287749+00:00,70,60,1.0,8812,6262,3.8,15,294,a,
2026-09-17T00:29:00.287749+00:00,71,50,0.2,583,2546,1.8,7,165,a,
2026-09-17T00:29:00.287749+00:00,72,49,0.1,215,544,0.8,3,10,a,
2026-09-17T00:29:00.287749+00:00,73,50,0.3,2186,2791,2.0,8,192,a,100
2026-09-17T00:29:00.287749+00:00,74,50,0.1,331,611,0.5,2,30,a,100
2026-09-17T00:29:00.287749+00:00,75,50,0.0,396,431,0.8,3,28,a,100
2026-09-17T00:29:00.287749+00:00,76,49,0.0,36,94,0.2,1,15,a,
2026-09-17T00:29:00.287749+00:00,77,49,0.0,18,161,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,78,74,0.2,96,1279,0.0,0,0,i,0
2026-09-17T00:29:00.287749+00:00,79,60,3.3,28202,27226,4.0,16,334,a,
2026-09-17T00:29:00.287749+00:00,80,55,0.0,0,82,0.0,0,0,u,0
2026-09-17T00:29:00.287749+00:00,81,60,0.1,554,932,0.5,2,10,a,100
