as_of_utc,player_id,field,old,new
2026-09-17T20:16:18.565736+00:00,208,status,d,a
2026-09-17T20:16:18.565736+00:00,208,news,Groin injury - 50% chance of playing,
2026-09-17T20:16:18.565736+00:00,208,chance_of_playing_next_round,50,100
2026-09-17T20:16:18.565736+00:00,224,status,d,a
2026-09-17T20:16:18.565736+00:00,224,news,Unspecified injury - 75% chance of playing,
2026-09-17T20:16:18.565736+00:00,224,chance_of_playing_next_round,75,100
2026-09-17T20:16:18.565736+00:00,224,ep_next,1.4,1.8
