as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-08-22T12:00:24.834474+00:00,1,60,37.6,4804,4103,6.0,6,90,a,
2026-08-22T12:00:24.834474+00:00,2,50,0.1,38,194,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,3,50,0.0,16,70,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,4,80,29.6,3942,9613,5.0,5,90,a,
2026-08-22T12:00:24.834474+00:00,5,65,0.1,57,485,0.0,0,0,i,0
2026-08-22T12:00:24.834474+00:00,6,60,0.3,147,1165,0.0,0,0,i,0
2026-08-22T12:00:24.834474+00:00,7,55,0.7,2065,688,3.0,3,90,a,
2026-08-22T12:00:24.834474+00:00,8,55,39.8,41757,2611,9.0,9,80,a,
2026-08-22T12:00:24.834474+00:00,9,55,1.8,652,7311,1.0,1,9,a,
2026-08-22T12:00:24.834474+00:00,10,55,4.6,9190,1135,11.0,11,90,a,100
2026-08-22T12:00:24.834474+00:00,11,55,6.3,3006,4034,6.0,6,90,a,
2026-08-22T12:00:24.834474+00:00,12,95,9.5,5096,1436,9.0,9,67,a,
2026-08-22T12:00:24.834474+00:00,13,75,18.0,4542,14844,3.0,3,67,a,
2026-08-22T12:00:24.834474+00:00,14,65,2.1,654,6453,1.0,1,14,a,
2026-08-22T12:00:24.834474+00:00,15,65,8.4,22455,2162,11.0,11,75,a,
2026-08-22T12:00:24.834474+00:00,16,65,0.3,144,1076,1.0,1,22,a,
2026-08-22T12:00:24.834474+00:00,17,60,0.7,342,1985,1.0,1,14,a,
2026-08-22T12:00:24.834474+00:00,18,65,0.2,152,1215,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,19,55,1.2,194,2326,1.0,1,22,a,
2026-08-22T12:00:24.834474+00:00,20,55,0.1,62,338,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,21,50,0.1,16,326,0.0,0,0,i,0
2026-08-22T12:00:24.834474+00:00,22,55,0.0,9,48,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,23,55,0.0,12,31,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,24,55,0.0,9,23,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,25,75,8.9,851,31390,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,26,75,5.7,21897,1856,6.0,6,90,a,
2026-08-22T12:00:24.834474+00:00,27,60,0.4,285,1167,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,28,50,4.5,1459,1852,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,29,45,0.1,67,32,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,30,45,0.1,0,1037,0.0,0,0,u,0
2026-08-22T12:00:24.834474+00:00,31,45,13.0,7253,28623,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,32,45,9.0,10553,1708,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,33,45,0.4,1035,126,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,34,45,0.5,657,145,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,35,50,0.1,170,58,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,36,45,0.8,778,194,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,37,45,0.3,555,100,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,38,40,1.8,1344,546,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,39,40,0.3,0,1124,0.0,0,0,u,0
2026-08-22T12:00:24.834474+00:00,40,75,24.4,4299,3991,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,41,60,1.4,637,497,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,42,55,0.0,50,39,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,43,60,2.6,2514,979,1.0,1,29,a,100
2026-08-22T12:00:24.834474+00:00,44,55,0.2,189,106,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,45,55,3.3,1225,962,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,46,50,0.2,307,125,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,47,50,0.4,471,229,0.0,0,0,a,100
2026-08-22T12:00:24.834474+00:00,48,50,0.0,32,73,0.0,0,0,i,0
2026-08-22T12:00:24.834474+00:00,49,50,0.0,0,28,0.0,0,0,u,0
2026-08-22T12:00:24.834474+00:00,50,45,0.7,631,296,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,51,45,0.7,360,170,0.0,0,0,a,
2026-08-22T12:00:24.834474+00:00,52,50,0.0,70,28,0.0,0,0,a,
